epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,49470.3898082,0.0,0.0,0.0,0.0,0.6036980024979535,658065,49763.30370179357,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-49470.3898082_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,289.5452359,0.04784,0.0,0.0,0.0,0.40629438342693547,754559,9047.135118530981,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-289.5452359_acc-0.04784_epoch-1_ep-0.000_dl-0_ap-0.00
1,205.4871456,0.08559,0.0,0.0,0.0,0.22374943313268858,856337,9559.162404586905,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-205.4871456_acc-0.08559_epoch-1_ep-0.000_dl-0_ap-0.00
1,160.5141041,0.1131,0.0,0.0,0.0,0.3634324504110964,777313,13246.217473294844,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-160.5141041_acc-0.11310_epoch-1_ep-0.000_dl-0_ap-0.00
1,132.9660867,0.12867,0.0,0.0,0.0,0.5557167135196828,680319,16734.159834120226,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-132.9660867_acc-0.12867_epoch-1_ep-0.000_dl-0_ap-0.00
1,114.5159108,0.1552,0.0,0.0,0.0,0.63517434792454,643863,25329.269669680507,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-114.5159108_acc-0.15520_epoch-1_ep-0.000_dl-0_ap-0.00
1,98.7363649,0.17726,0.0,0.0,0.0,0.8297005876329671,562646,26273.391336409924,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-98.7363649_acc-0.17726_epoch-1_ep-0.000_dl-0_ap-0.00
1,89.6149625,0.19733,0.0,0.0,0.0,0.6922007935251635,618909,34549.28537384479,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-89.6149625_acc-0.19733_epoch-1_ep-0.000_dl-0_ap-0.00
1,78.4265263,0.23403,0.0,0.0,0.0,0.8631077838262264,549767,30459.884088537234,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-78.4265263_acc-0.23403_epoch-1_ep-0.000_dl-0_ap-0.00
1,70.9833406,0.23758,0.0,0.0,0.0,1.0784052404227324,473552,31462.605261204662,1000000,model/nodp/20210511/201546/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-70.9833406_acc-0.23758_epoch-1_ep-0.000_dl-0_ap-0.00
