epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50684.0014481,0.0,0.0,0.0,0.0,0.6919793627313133,619004,51012.58757671699,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-50684.0014481_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,2106.3888881,0.07909,0.0,0.0,0.0,0.5062092233650581,704070,11981.1053217726,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-2106.3888881_acc-0.07909_epoch-1_ep-0.000_dl-0_ap-0.00
1,1019.2256797,0.03894,0.0,0.0,0.0,0.2126544675832278,862948,42444.25347830966,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-1019.2256797_acc-0.03894_epoch-1_ep-0.000_dl-0_ap-0.00
1,502.1963331,0.07195,0.0,0.0,0.0,0.09926107238023363,933511,8205.732403058573,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-502.1963331_acc-0.07195_epoch-1_ep-0.000_dl-0_ap-0.00
1,324.6963372,0.12532,0.0,0.0,0.0,0.03167474840786255,978284,10084.892185422083,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-324.6963372_acc-0.12532_epoch-1_ep-0.000_dl-0_ap-0.00
1,130.1219974,0.19016,0.0,0.0,0.0,0.008831745402329005,993897,5612.754987310038,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-130.1219974_acc-0.19016_epoch-1_ep-0.000_dl-0_ap-0.00
1,74.7217712,0.30934,0.0,0.0,0.0,0.09510978882673626,936201,10866.394679681458,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-74.7217712_acc-0.30934_epoch-1_ep-0.000_dl-0_ap-0.00
1,42.4226782,0.40357,0.0,0.0,0.0,0.054146625123717484,963164,5060.0739639688945,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-42.4226782_acc-0.40357_epoch-1_ep-0.000_dl-0_ap-0.00
1,24.3841898,0.50066,0.0,0.0,0.0,0.3234762156469486,799142,4423.044167416119,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-24.3841898_acc-0.50066_epoch-1_ep-0.000_dl-0_ap-0.00
1,15.9641933,0.58427,0.0,0.0,0.0,0.6430313843685411,640366,19032.44800998085,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-15.9641933_acc-0.58427_epoch-1_ep-0.000_dl-0_ap-0.00
1,10.8694344,0.64861,0.0,0.0,0.0,0.4113086275944191,751941,4794.6098669507,1000000,model/nodp/20210503/220414/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-10.8694344_acc-0.64861_epoch-1_ep-0.000_dl-0_ap-0.00
