epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,49470.3834772,0.0,0.0,0.0,0.0,0.6037001948287077,658064,49763.30370179357,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-49470.3834772_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,425.333074,0.07909,0.0,0.0,0.0,0.6256537850113695,648126,8174.309695725062,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-425.3330740_acc-0.07909_epoch-1_ep-0.000_dl-0_ap-0.00
1,343.8550122,0.07229,0.0,0.0,0.0,0.4869438970181399,713535,13777.844518628306,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-343.8550122_acc-0.07229_epoch-1_ep-0.000_dl-0_ap-0.00
1,255.6022332,0.0888,0.0,0.0,0.0,0.46083622478854025,726565,6358.247318317837,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-255.6022332_acc-0.08880_epoch-1_ep-0.000_dl-0_ap-0.00
1,219.5492139,0.09851,0.0,0.0,0.0,0.6015883328361369,659028,6762.682337007356,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-219.5492139_acc-0.09851_epoch-1_ep-0.000_dl-0_ap-0.00
1,212.3082574,0.05307,0.0,0.0,0.0,0.6670366281352003,629799,10718.532431947226,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-212.3082574_acc-0.05307_epoch-1_ep-0.000_dl-0_ap-0.00
1,189.4548457,0.0906,0.0,0.0,0.0,0.3805005946293072,768171,24300.50414741463,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-189.4548457_acc-0.09060_epoch-1_ep-0.000_dl-0_ap-0.00
1,159.7881892,0.10527,0.0,0.0,0.0,0.44404645195307424,735070,20342.279382206212,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-159.7881892_acc-0.10527_epoch-1_ep-0.000_dl-0_ap-0.00
1,141.5128175,0.11385,0.0,0.0,0.0,0.9973968427002866,500903,29732.8938999427,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-141.5128175_acc-0.11385_epoch-1_ep-0.000_dl-0_ap-0.00
1,111.9987169,0.13615,0.0,0.0,0.0,1.478293915684695,358913,34583.95112682333,1000000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-111.9987169_acc-0.13615_epoch-1_ep-0.000_dl-0_ap-0.00
