epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,49470.3856461,0.0,0.152,8e-05,63.0,0.6036980024979535,658065,49763.30370179357,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-49470.3856461_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,765.8960048,0.07909,1.387,8e-05,8.0,1.0298001229530627,489778,9095.830308709752,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-765.8960048_acc-0.07909_epoch-1_ep-1.387_dl-8e-05_ap-8.00
1,523.6455597,0.07909,1.408,8e-05,7.9,1.0150126191460735,494824,12174.753136759462,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-523.6455597_acc-0.07909_epoch-1_ep-1.408_dl-8e-05_ap-7.90
1,492.0870777,0.07909,1.421,8e-05,7.8,1.0343228249937084,488245,15675.967019862695,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-492.0870777_acc-0.07909_epoch-1_ep-1.421_dl-8e-05_ap-7.80
1,482.0920816,0.07909,1.432,8e-05,7.8,1.0055477164578477,498081,19935.30845629853,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-482.0920816_acc-0.07909_epoch-1_ep-1.432_dl-8e-05_ap-7.80
1,473.639758,0.07909,1.441,8e-05,7.7,0.9588495551116196,514467,24554.97103552727,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-473.6397580_acc-0.07909_epoch-1_ep-1.441_dl-8e-05_ap-7.70
1,472.466856,0.07909,1.447,8e-05,7.7,0.8343697154875898,560828,29532.219413774947,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-472.4668560_acc-0.07909_epoch-1_ep-1.447_dl-8e-05_ap-7.70
1,474.646814,0.07909,1.454,8e-05,7.7,0.8204711151980426,566257,32596.599219222546,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-474.6468140_acc-0.07909_epoch-1_ep-1.454_dl-8e-05_ap-7.70
1,483.1922582,0.06939,1.461,8e-05,7.7,0.8149606255459219,568424,34459.07157270459,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-483.1922582_acc-0.06939_epoch-1_ep-1.461_dl-8e-05_ap-7.70
1,480.813535,0.09758,1.467,8e-05,7.6,0.9156064028037996,530121,33130.29511875158,1000000,model/partialdp/20210503/230904/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-480.8135350_acc-0.09758_epoch-1_ep-1.467_dl-8e-05_ap-7.60
