epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50536.0525635,0.0,0.152,8e-05,63.0,2.8855423513236538,135321,49898.14809882295,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-50536.0525635_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,2081.7057975,0.06286,2.851,8e-05,4.5,1.8341330706367707,280460,17819.46499607758,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-2081.7057975_acc-0.06286_epoch-1_ep-2.851_dl-8e-05_ap-4.50
2,1689.1143848,0.06286,2.954,8e-05,4.4,0.7090613664189114,611718,16618.43000489964,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-1689.1143848_acc-0.06286_epoch-2_ep-2.954_dl-8e-05_ap-4.40
3,1482.1386071,0.06286,3.027,8e-05,4.3,0.31527998834692283,803695,17683.521817925553,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-1482.1386071_acc-0.06286_epoch-3_ep-3.027_dl-8e-05_ap-4.30
4,1248.7058811,0.11429,3.083,8e-05,4.3,0.1655185335739624,891608,19857.49178786367,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-1248.7058811_acc-0.11429_epoch-4_ep-3.083_dl-8e-05_ap-4.30
5,988.0475135,0.11429,3.138,8e-05,4.2,0.0809879701166416,945410,21017.61007071259,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-988.0475135_acc-0.11429_epoch-5_ep-3.138_dl-8e-05_ap-4.20
6,854.179801,0.14857,3.176,8e-05,4.2,0.022509046260509535,984519,24442.936845753084,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-854.1798010_acc-0.14857_epoch-6_ep-3.176_dl-8e-05_ap-4.20
7,766.080477,0.15429,3.213,8e-05,4.2,0.023881294914367857,983583,25120.763576989393,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-766.0804770_acc-0.15429_epoch-7_ep-3.213_dl-8e-05_ap-4.20
8,703.0476563,0.2,3.251,8e-05,4.2,0.03058976252918555,979020,24671.769243541403,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-703.0476563_acc-0.20000_epoch-8_ep-3.251_dl-8e-05_ap-4.20
9,654.8196527,0.20571,3.289,8e-05,4.2,0.018072839827041776,987551,25966.186811458505,1000000,model/dp/20210425/151340/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-654.8196527_acc-0.20571_epoch-9_ep-3.289_dl-8e-05_ap-4.20
