epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,49790.6306364,0.0,0.0,0.0,0.0,1.001330778410864,499539,50218.70937163768,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-49790.6306364_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,472.7824846,0.21234,0.0,0.0,0.0,1.8045264076127339,286275,13361.823922235788,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-472.7824846_acc-0.21234_epoch-1_ep-0.000_dl-0_ap-0.00
1,394.7432682,0.21968,0.0,0.0,0.0,1.7352642176328104,300354,17187.237284098577,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-394.7432682_acc-0.21968_epoch-1_ep-0.000_dl-0_ap-0.00
1,295.0555843,0.24842,0.0,0.0,0.0,1.3052891527735717,404640,21018.754277616834,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-295.0555843_acc-0.24842_epoch-1_ep-0.000_dl-0_ap-0.00
1,274.1501303,0.25529,0.0,0.0,0.0,1.1144631188554008,461863,53119.53577907697,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-274.1501303_acc-0.25529_epoch-1_ep-0.000_dl-0_ap-0.00
1,271.4835049,0.24793,0.0,0.0,0.0,1.298669193526134,406501,37420.47703895179,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-271.4835049_acc-0.24793_epoch-1_ep-0.000_dl-0_ap-0.00
1,235.8564137,0.25453,0.0,0.0,0.0,6.2374283652477445,13254,29930.38128091338,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-235.8564137_acc-0.25453_epoch-1_ep-0.000_dl-0_ap-0.00
1,229.78434,0.2601,0.0,0.0,0.0,5.488236468748278,22278,30779.83576518251,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-229.7843400_acc-0.26010_epoch-1_ep-0.000_dl-0_ap-0.00
1,208.0551093,0.28325,0.0,0.0,0.0,3.7425934495400064,74708,30539.052811896352,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-208.0551093_acc-0.28325_epoch-1_ep-0.000_dl-0_ap-0.00
1,207.8026062,0.27167,0.0,0.0,0.0,3.461815476566464,90759,34884.98986642264,1000000,model/nodp/20210507/192746/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-207.8026062_acc-0.27167_epoch-1_ep-0.000_dl-0_ap-0.00
