epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50434.6327462,0.0,0.0,0.0,0.0,1.9184313049434287,264542,51230.433114914624,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-50434.6327462_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,600.1837423,0.16184,0.0,0.0,0.0,0.3624509589120919,777842,13737.454744781286,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-600.1837423_acc-0.16184_epoch-1_ep-0.000_dl-0_ap-0.00
1,379.1222786,0.23197,0.0,0.0,0.0,0.7248284231089457,605069,24826.570637728957,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-379.1222786_acc-0.23197_epoch-1_ep-0.000_dl-0_ap-0.00
1,344.5299098,0.23201,0.0,0.0,0.0,1.1008398408629354,466245,22527.699329591254,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-344.5299098_acc-0.23201_epoch-1_ep-0.000_dl-0_ap-0.00
1,276.7503304,0.24642,0.0,0.0,0.0,1.5527572511286714,340858,28565.718906133385,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-276.7503304_acc-0.24642_epoch-1_ep-0.000_dl-0_ap-0.00
1,261.5609795,0.24231,0.0,0.0,0.0,1.149923905562538,450649,38220.90606935052,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-261.5609795_acc-0.24231_epoch-1_ep-0.000_dl-0_ap-0.00
1,255.4903193,0.27084,0.0,0.0,0.0,1.2490128282438633,420736,39891.240608721826,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-255.4903193_acc-0.27084_epoch-1_ep-0.000_dl-0_ap-0.00
1,240.0865277,0.25532,0.0,0.0,0.0,1.4074975148164413,376965,25545.204390826897,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-240.0865277_acc-0.25532_epoch-1_ep-0.000_dl-0_ap-0.00
1,222.0381678,0.25613,0.0,0.0,0.0,1.046095608928809,484277,47754.686138164565,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-222.0381678_acc-0.25613_epoch-1_ep-0.000_dl-0_ap-0.00
1,211.35053,0.27765,0.0,0.0,0.0,0.7870049188358124,579546,34982.66805916852,1000000,model/nodp/20210515/122150/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-211.3505300_acc-0.27765_epoch-1_ep-0.000_dl-0_ap-0.00
