epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
0,50434.7282047,0.0,1.9027775698212888,267428,50541.71333605561,1000000,0.15,8e-05,63.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0
1,2078.1816398,0.06286,0.1238787622090313,917717,23757.197463455672,1000000,2.85,8e-05,4.5,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-2078.1816398_acc-0.06286_epoch-1
2,1695.1551616,0.06286,0.3197476671711179,801210,20117.276472451627,1000000,2.95,8e-05,4.4,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-1695.1551616_acc-0.06286_epoch-2
3,1490.4512709,0.06286,0.2557872267268237,837530,20205.052552454115,1000000,3.03,8e-05,4.3,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-1490.4512709_acc-0.06286_epoch-3
4,1292.0344489,0.09714,0.0857186858220124,942315,22431.77690091238,1000000,3.08,8e-05,4.3,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-1292.0344489_acc-0.09714_epoch-4
5,1007.9209422,0.11429,0.1517209939969888,900176,20762.57449955025,1000000,3.14,8e-05,4.2,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-1007.9209422_acc-0.11429_epoch-5
6,871.2863492,0.14857,0.19592330521521,873014,20023.41537298019,1000000,3.18,8e-05,4.2,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-871.2863492_acc-0.14857_epoch-6
7,781.6443322,0.18286,0.0684863702877152,953638,22591.987131278354,1000000,3.21,8e-05,4.2,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-781.6443322_acc-0.18286_epoch-7
8,712.1233823,0.2,0.1239510782227526,917671,19775.822568632964,1000000,3.25,8e-05,4.2,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-712.1233823_acc-0.20000_epoch-8
9,657.512999,0.21143,0.0858044250100853,942259,19453.42321791596,1000000,3.29,8e-05,4.2,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-657.5129990_acc-0.21143_epoch-9
10,620.9710981,0.22286,0.0493374976326812,966380,20851.360767018235,1000000,3.32,8e-05,4.1,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-620.9710981_acc-0.22286_epoch-10
11,592.7892741,0.22857,0.0361722741163212,975239,20780.19330944585,1000000,3.35,8e-05,4.1,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-592.7892741_acc-0.22857_epoch-11
12,569.526415,0.22857,0.0323591808424659,977820,21851.422211804027,1000000,3.38,8e-05,4.1,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-569.5264150_acc-0.22857_epoch-12
13,548.5724137,0.22857,0.0643260326008885,956392,19682.09313261996,1000000,3.40,8e-05,4.1,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-548.5724137_acc-0.22857_epoch-13
14,532.8611345,0.23429,0.1192564938629736,920662,18187.96291984896,1000000,3.43,8e-05,4.1,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-532.8611345_acc-0.23429_epoch-14
