epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50536.0525635,0.0,3.038954606265772,121670,49695.91045144378,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-50536.0525635_acc-0.00000_epoch-0
1,2967.2602981,0.06286,2.366749224996841,193882,35361.174603614105,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-2967.2602981_acc-0.06286_epoch-1
2,2213.5382463,0.06286,1.2380679995037944,423940,21768.365309794754,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-2213.5382463_acc-0.06286_epoch-2
3,1949.992855,0.06286,0.7600350130914109,590482,17540.17223726802,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1949.9928550_acc-0.06286_epoch-3
4,1783.7448108,0.06286,0.5595601426636421,678509,17457.98191804252,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1783.7448108_acc-0.06286_epoch-4
5,1662.7250294,0.06286,0.3680650390033833,774821,17607.81257542533,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1662.7250294_acc-0.06286_epoch-5
6,1565.8320582,0.06286,0.19580928410656284,873083,18992.828173246373,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1565.8320582_acc-0.06286_epoch-6
7,1495.179492,0.06286,0.16836917271192675,889848,19517.955285930824,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1495.1794920_acc-0.06286_epoch-7
8,1428.208431,0.06286,0.15400501889106266,898752,19541.639715528196,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1428.2084310_acc-0.06286_epoch-8
9,1368.7376402,0.06286,0.11603047681474621,922723,20350.659559216147,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1368.7376402_acc-0.06286_epoch-9
