epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES
0,50434.7282047,0.0,1.9027775698212892,267428,50541.71333605561,1000000
1,1735.4783821,0.06286,0.08761685716670087,941076,24434.34451472069,1000000
2,1128.2247041,0.14286,0.40048795549305893,757602,20065.585088098076,1000000
3,818.5818058,0.2,0.45962152587059535,727177,19084.479000658463,1000000
4,691.1580813,0.23429,0.19539789154795884,873332,20232.5337349264,1000000
5,632.1485496,0.23429,0.4851637035909242,714416,16993.99456542714,1000000
6,597.24052,0.24571,0.38458370273712816,766000,18093.41570682654,1000000
7,573.9243415,0.25714,0.16404521323692833,892519,24584.336214822302,1000000
8,553.5191389,0.25143,0.1626832053430114,893362,22464.45190995354,1000000
9,537.0499012,0.25143,0.11917814502991675,920712,21157.0928779546,1000000
10,527.4259385,0.25714,0.05520900644651405,962455,27418.65076301033,1000000
11,517.7321107,0.24571,0.09448581475928819,936606,26467.009405654775,1000000
12,510.7053114,0.22857,0.0470447548485744,967917,38693.745015109846,1000000
13,504.3870219,0.24571,0.19376834405049337,874319,31130.987420643618,1000000
14,501.9516717,0.25143,0.3858649929864413,765320,28767.79014351911,1000000
15,496.0247848,0.25143,0.21877627344944628,859294,30043.889857170154,1000000
16,492.3442827,0.24,0.27156919387769207,828418,29327.235799453796,1000000
17,491.9161708,0.24571,0.13457047858106108,910941,30833.888827727358,1000000
18,492.3987714,0.21143,0.22087982745541268,858042,23916.998905387267,1000000
19,488.3236041,0.21143,0.21808639791943563,859705,24393.454746808053,1000000
20,484.0380766,0.22286,0.19528060833332006,873403,27229.843279542827,1000000
21,480.6975129,0.22857,0.20130907494263184,869761,26472.97414343927,1000000
22,477.3065916,0.22286,0.22092018115048617,858018,24827.22907761569,1000000
23,473.7785988,0.22857,0.270702184388977,828916,23484.627929043523,1000000
24,470.9399119,0.24,0.2846091349551685,820964,22648.49739808377,1000000
25,468.2369332,0.24,0.22512482670216727,855521,23201.17856512041,1000000
26,465.5239332,0.24,0.20339227918100278,868506,24354.483140338118,1000000
27,462.6580993,0.24571,0.237319519569553,848320,23993.380968883754,1000000
28,459.6162145,0.25143,0.2431970160577137,844871,23638.995089945616,1000000
29,457.2598091,0.24571,0.23650173894784388,848801,23983.935884453927,1000000
30,454.9060054,0.24571,0.3183258582071673,802000,23043.004604159163,1000000
31,452.0698532,0.25143,0.2490025413425947,841478,25051.25847144864,1000000
32,449.7563013,0.25143,0.26119412410171705,834397,25092.6919406809,1000000
33,447.5586837,0.25143,0.26411741058669946,832708,24854.706314248928,1000000
34,445.0190052,0.26286,0.2594385011956035,835413,24292.16569715132,1000000
35,442.3806243,0.25714,0.25865123853738936,835869,24571.280567018195,1000000
36,440.5076597,0.25143,0.25147522111391396,840037,24539.793417847064,1000000
37,438.2049733,0.25714,0.2907146585800824,817497,23890.57784682085,1000000
38,436.9000242,0.26286,0.2980021251349356,813378,24226.743164973526,1000000
39,434.9323469,0.26286,0.3763559726299235,770381,22228.659385227027,1000000
40,433.3856314,0.26857,0.46491651846986315,724513,22193.645206815625,1000000
41,431.692385,0.26857,0.503132740215559,705573,22451.61967713012,1000000
42,429.9712565,0.27429,0.49156323391603607,711254,21669.853177309615,1000000
43,428.3534322,0.27429,0.5882635539542562,665143,21498.208852769047,1000000
44,426.8093134,0.25714,0.5369174778492969,689242,21789.878773431235,1000000
45,425.0263937,0.26857,0.5648984459013242,676003,21113.387192944032,1000000
46,423.4240542,0.26857,0.5672308272783546,674911,21270.378955928358,1000000
47,421.2872032,0.26286,0.5171166178011539,698767,21998.03742962316,1000000
48,420.0350604,0.27429,0.45904430701307675,727468,21333.149189319804,1000000
49,418.5335287,0.27429,0.44693642255202803,733599,21862.1316878291,1000000
50,417.3482872,0.26286,0.44632887141363753,733908,22690.244054980292,1000000
