epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
0,50435.2133319,0.0,1.9027775698212888,267428,50541.71333605561,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-50435.2133319_acc-0.00000_epoch-0
1,432.0968589,0.224,0.3633303738728486,777368,16642.44849475138,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-432.0968589_acc-0.22400_epoch-1
2,238.0294657,0.26872,4.526992432083825,43375,8002.575603339052,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-238.0294657_acc-0.26872_epoch-2
3,180.3299263,0.29176,7.42898535577082,5803,8233.581382028342,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-180.3299263_acc-0.29176_epoch-3
4,158.9184791,0.29836,9.785636423503655,1133,2915.8136455481063,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-158.9184791_acc-0.29836_epoch-4
5,143.9474273,0.30563,13.609640474436812,80,1224.482935279211,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-143.9474273_acc-0.30563_epoch-5
6,134.0641283,0.29943,14.57401656470609,41,927.545459628694,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-134.0641283_acc-0.29943_epoch-6
7,129.3553134,0.30132,16.346606068603016,12,591.7348121259868,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-129.3553134_acc-0.30132_epoch-7
8,116.3437421,0.30873,17.346606068603016,6,359.9867788259915,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-116.3437421_acc-0.30873_epoch-8
9,115.1057335,0.30226,17.346606068603016,6,295.14447627279645,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-115.1057335_acc-0.30226_epoch-9
10,107.3536715,0.31008,17.346606068603016,6,216.2002885779092,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-107.3536715_acc-0.31008_epoch-10
11,102.2298124,0.31937,18.346606068603016,3,166.23145315202186,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-102.2298124_acc-0.31937_epoch-11
13,92.5736496,0.33338,18.93156856932417,2,144.50708772264375,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-92.5736496_acc-0.33338_epoch-13
14,91.6282058,0.33149,18.93156856932417,2,118.61729233666038,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-91.6282058_acc-0.33149_epoch-14
15,90.8778121,0.33405,19.93156856932417,1,105.54187253484608,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-90.8778121_acc-0.33405_epoch-15
16,90.1945959,0.33567,19.93156856932417,1,97.4776449433281,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-90.1945959_acc-0.33567_epoch-16
17,89.6651039,0.33365,19.93156856932417,1,98.95740167076512,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-89.6651039_acc-0.33365_epoch-17
18,89.0074908,0.33486,19.93156856932417,1,91.1400893425392,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-89.0074908_acc-0.33486_epoch-18
19,88.5150561,0.33378,19.93156856932417,1,88.32583398971596,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-88.5150561_acc-0.33378_epoch-19
20,87.6159834,0.33675,19.93156856932417,1,80.99121929576572,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-87.6159834_acc-0.33675_epoch-20
21,87.2523729,0.33607,19.93156856932417,1,82.99768727527483,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-87.2523729_acc-0.33607_epoch-21
22,86.5388096,0.33809,19.93156856932417,1,72.50812023335112,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-86.5388096_acc-0.33809_epoch-22
23,86.093848,0.33648,19.93156856932417,1,71.79591119232781,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-86.0938480_acc-0.33648_epoch-23
24,85.6777917,0.33688,19.93156856932417,1,68.3491647261397,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-85.6777917_acc-0.33688_epoch-24
25,84.9397497,0.33513,19.93156856932417,1,63.97816694933791,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.9397497_acc-0.33513_epoch-25
26,84.7780835,0.33742,19.93156856932417,1,60.51340665693075,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.7780835_acc-0.33742_epoch-26
27,84.1101766,0.3393,19.93156856932417,1,55.5914142947945,1000000,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.1101766_acc-0.33930_epoch-27
