epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,49589.6312025,0.0,2.633523906489902,161150,50983.259267455534,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-49589.6312025_acc-0.00000_epoch-0
1,2926.2886776,0.06286,3.1963431127538406,109095,35602.560502582295,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-2926.2886776_acc-0.06286_epoch-1
2,2199.6284109,0.06286,3.3134698908683546,100588,21024.416095148885,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-2199.6284109_acc-0.06286_epoch-2
3,1939.2335091,0.06286,2.15953112628652,223829,16817.771524647,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1939.2335091_acc-0.06286_epoch-3
4,1773.3002842,0.06286,1.4854383687767339,357140,16170.736517217128,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1773.3002842_acc-0.06286_epoch-4
5,1658.0072221,0.06286,1.3162370822077882,401581,16281.037378351335,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1658.0072221_acc-0.06286_epoch-5
6,1569.2372406,0.06286,1.4400912237560668,368544,15568.94326791718,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1569.2372406_acc-0.06286_epoch-6
7,1498.8512088,0.06286,1.4499425489262414,366036,15031.034453279204,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1498.8512088_acc-0.06286_epoch-7
8,1436.8271991,0.06286,1.2595818430363188,417665,14898.346599830455,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1436.8271991_acc-0.06286_epoch-8
9,1377.3396673,0.06286,0.8728712565465884,546059,15663.015018782515,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1377.3396673_acc-0.06286_epoch-9
