epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES
0,50434.7282047,0.0,1.9027775698212892,267428,50541.71333605561,1000000
1,436.4652551,0.24,0.23634197732505058,848895,24690.265914652024,1000000
2,372.7183752,0.24571,0.12577117639573387,916514,31026.44239601747,1000000
3,346.3304258,0.26286,0.7181866355887827,607861,25345.202889658845,1000000
4,333.5465224,0.27429,0.8702896788507957,547037,28155.64710930477,1000000
5,326.4046872,0.26286,0.19018717174396116,876492,34521.978113836885,1000000
6,320.2805262,0.25143,0.6508498970524634,636905,19467.15140922774,1000000
7,316.7738167,0.26857,0.289153680982416,818382,25638.055186661597,1000000
8,314.4578681,0.27429,0.18764471637362234,878038,39046.229358086865,1000000
9,311.4959879,0.26286,0.1581910799776729,896148,40181.37904771505,1000000
10,310.4469335,0.27429,0.6094907885030558,655428,35679.883134641124,1000000
11,308.1862398,0.27429,0.18999954134920571,876606,35908.04839281508,1000000
12,307.6905663,0.25714,0.26020718727187386,834968,38609.22557193849,1000000
13,307.1450089,0.27429,0.4156993672042475,749656,33187.7085288391,1000000
14,306.4376016,0.26857,0.488343729386024,712843,35143.84020882746,1000000
15,304.7297236,0.26286,1.291150622894822,408625,20052.70520585375,1000000
16,303.5616051,0.25714,1.4491623623145884,366234,22115.586826498293,1000000
17,303.2884338,0.25143,1.2834462590472704,410813,20855.906498382912,1000000
18,301.7376577,0.25714,0.8077149193818407,571286,18127.1416262164,1000000
19,300.3410332,0.26286,1.7014214453905083,307483,12442.105332008872,1000000
20,299.279138,0.27429,0.7084105861077958,611994,21598.32106423023,1000000
21,298.0447863,0.29143,0.5549322990588159,680689,23041.918411118007,1000000
22,298.7351126,0.27429,0.31135411440562777,805885,22419.670424012238,1000000
23,294.5912485,0.26857,0.2742134805556411,826901,25147.63947493009,1000000
24,291.6535182,0.27429,0.22010155826717437,858505,29830.985110939153,1000000
25,289.0315204,0.26857,0.2067300104711869,866499,32074.15532605351,1000000
26,287.29341,0.26857,0.19089182653362613,876064,32388.538832638325,1000000
27,284.8572273,0.28,0.2108917731495339,864003,30945.427661968522,1000000
28,282.8815456,0.28,0.16036928774498094,894796,35078.017090865236,1000000
29,281.008928,0.26857,0.1569729116236509,896905,34478.61792040518,1000000
30,279.0954767,0.28,0.187279996604218,878260,30250.923608365694,1000000
31,277.2931479,0.28571,0.18203626571090936,881458,32359.882931088254,1000000
32,276.2764143,0.28571,0.2610592662896458,834475,31026.772105120333,1000000
33,274.5676467,0.26857,0.3479770776012643,785685,28402.10025284314,1000000
34,273.3571854,0.27429,0.3316756985389837,794613,29708.71649607704,1000000
35,271.951409,0.28571,0.3309714197807665,795001,29541.342309026484,1000000
36,271.1794509,0.28,0.46801226707201593,722960,29828.68489118501,1000000
37,269.5298206,0.28571,0.5071582590145951,703607,27107.850711277224,1000000
38,268.3439715,0.28571,0.5518834963103423,682129,27030.048157681937,1000000
39,267.1952652,0.28,0.7494240048976231,594841,25322.75446075248,1000000
40,266.0476493,0.27429,0.7353819036638782,600659,26560.14235439653,1000000
41,264.7776498,0.27429,0.7964505085652682,575764,25587.017039213242,1000000
42,263.8519732,0.27429,0.8209986009007544,566050,25156.908767043165,1000000
43,262.619256,0.27429,0.7197539281559635,607201,24884.79383344771,1000000
44,261.7477909,0.28,0.6497879255301697,637374,24366.326426955693,1000000
45,260.7044928,0.28,0.7398659200931057,598795,22427.043521509106,1000000
46,259.5919634,0.28,0.5805258289677688,668720,25128.77905144439,1000000
47,258.8282424,0.28,0.5769748112187791,670368,24828.852702638433,1000000
48,257.4516733,0.28,0.7006568600850862,615292,23966.158824456325,1000000
49,256.7706914,0.28,0.9514289916850167,517120,20395.838550120683,1000000
50,255.9074582,0.28,0.8139939480673384,568805,22502.46685405544,1000000
