epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
0,50434.7282047,0.0,1.9027775698212888,267428,50541.71333605561,1000000,0.15,8e-05,63.0,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0
1,467.6046156,0.24571,0.149669418943894,901457,27581.356685525992,1000000,2.97,8e-05,4.4,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-467.6046156_acc-0.24571_epoch-1
1,849.9647072,0.14286,0.131947021967079,912599,23008.3439069293,1000000,2.81,8e-05,4.5,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-849.9647072_acc-0.14286_epoch-1
1,706.9981982,0.2,0.2018399648775499,869441,26837.18823687957,1000000,2.83,8e-05,4.5,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-706.9981982_acc-0.20000_epoch-1
1,634.7256384,0.21143,0.2086026518453714,865375,27750.441557556875,1000000,2.86,8e-05,4.5,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-634.7256384_acc-0.21143_epoch-1
1,577.56299,0.21714,0.2030883257463465,868689,24409.358809064623,1000000,2.89,8e-05,4.4,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-577.5629900_acc-0.21714_epoch-1
1,679.9111404,0.20571,0.1778490854805845,884020,26376.418327765667,1000000,2.84,8e-05,4.5,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-679.9111404_acc-0.20571_epoch-1
1,796.8622528,0.15429,0.0934418396269123,937284,25649.54069303515,1000000,2.82,8e-05,4.5,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-796.8622528_acc-0.15429_epoch-1
1,554.3242233,0.21143,0.1485671620375548,902146,24624.980644658688,1000000,2.90,8e-05,4.4,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-554.3242233_acc-0.21143_epoch-1
1,444.8534049,0.24571,0.2777263476927913,824890,22827.210895604083,1000000,3.00,8e-05,4.3,model/partialdp/20210413/145857/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-444.8534049_acc-0.24571_epoch-1
