epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,1.918436758511362,264541,51230.433114914624,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3127.2927978,0.06286,2.037,8e-05,5.8,0.5891444367478904,664737,36117.96329259979,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-3127.2927978_acc-0.06286_epoch-1_ep-2.037_dl-8e-05_ap-5.80
1,2202.5890769,0.06286,2.07,8e-05,5.7,0.47092470102177586,721502,20405.530685800575,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-2202.5890769_acc-0.06286_epoch-1_ep-2.070_dl-8e-05_ap-5.70
1,1868.5981881,0.06286,2.097,8e-05,5.6,0.4700111859968281,721959,16624.272550404545,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1868.5981881_acc-0.06286_epoch-1_ep-2.097_dl-8e-05_ap-5.60
1,1722.7600657,0.06286,2.111,8e-05,5.6,0.4613247744366191,726319,17118.84012582185,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1722.7600657_acc-0.06286_epoch-1_ep-2.111_dl-8e-05_ap-5.60
1,1598.6766033,0.05714,2.126,8e-05,5.6,0.3000486612954667,812225,16979.80724869508,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1598.6766033_acc-0.05714_epoch-1_ep-2.126_dl-8e-05_ap-5.60
1,1514.0232504,0.05714,2.142,8e-05,5.5,0.2934809404440273,815931,18250.924744270364,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1514.0232504_acc-0.05714_epoch-1_ep-2.142_dl-8e-05_ap-5.50
1,1432.2985449,0.01714,2.15,8e-05,5.5,0.20421310726274555,868012,19083.941663745645,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1432.2985449_acc-0.01714_epoch-1_ep-2.150_dl-8e-05_ap-5.50
1,1387.178436,0.05714,2.158,8e-05,5.5,0.22067639476498613,858163,19721.08164875275,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1387.1784360_acc-0.05714_epoch-1_ep-2.158_dl-8e-05_ap-5.50
1,1306.321788,0.06286,2.165,8e-05,5.5,0.17039882422639963,888597,21032.307426111733,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1306.3217880_acc-0.06286_epoch-1_ep-2.165_dl-8e-05_ap-5.50
1,1242.8728124,0.08571,2.173,8e-05,5.5,0.20077174784741558,870085,21282.221938258972,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1242.8728124_acc-0.08571_epoch-1_ep-2.173_dl-8e-05_ap-5.50
1,1145.7576935,0.09714,2.181,8e-05,5.5,0.24212675289964025,845498,22263.493733182146,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1145.7576935_acc-0.09714_epoch-1_ep-2.181_dl-8e-05_ap-5.50
1,1034.9624586,0.10286,2.188,8e-05,5.5,0.2517036558516068,839904,23562.172216805207,1000000,model/partialdp/20210417/000327/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.55_norm-0.01_dl-8e-05.pt_ppl-1034.9624586_acc-0.10286_epoch-1_ep-2.188_dl-8e-05_ap-5.50
