epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,1.918436758511362,264541,51230.433114914624,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3159.2009544,0.06286,2.548,8e-05,4.8,0.5251559322921011,694884,36707.35170303853,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-3159.2009544_acc-0.06286_epoch-1_ep-2.548_dl-8e-05_ap-4.80
1,2209.4135801,0.06286,2.61,8e-05,4.8,0.4305205740860849,741994,20978.814099185078,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-2209.4135801_acc-0.06286_epoch-1_ep-2.610_dl-8e-05_ap-4.80
1,1872.6035354,0.06286,2.643,8e-05,4.7,0.37174899529605554,772845,16784.360678409077,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1872.6035354_acc-0.06286_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1723.3925586,0.06286,2.672,8e-05,4.7,0.32392761250479296,798892,17780.640735268447,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1723.3925586_acc-0.06286_epoch-1_ep-2.672_dl-8e-05_ap-4.70
1,1600.1840639,0.05714,2.698,8e-05,4.6,0.28700106958397953,819604,17358.353474931937,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1600.1840639_acc-0.05714_epoch-1_ep-2.698_dl-8e-05_ap-4.60
1,1516.2492383,0.06286,2.715,8e-05,4.6,0.2680243628988812,830456,18815.823677378903,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1516.2492383_acc-0.06286_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1436.3544103,0.01714,2.73,8e-05,4.6,0.25282746296453595,839250,19291.573885907008,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1436.3544103_acc-0.01714_epoch-1_ep-2.730_dl-8e-05_ap-4.60
1,1395.2909662,0.05714,2.747,8e-05,4.6,0.24258412070119917,845230,20310.7192205305,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1395.2909662_acc-0.05714_epoch-1_ep-2.747_dl-8e-05_ap-4.60
1,1319.3464784,0.06286,2.762,8e-05,4.6,0.23262826045046836,851083,21106.317532357945,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1319.3464784_acc-0.06286_epoch-1_ep-2.762_dl-8e-05_ap-4.60
1,1269.3282448,0.06286,2.778,8e-05,4.6,0.21488975189947013,861612,22099.604069184123,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1269.3282448_acc-0.06286_epoch-1_ep-2.778_dl-8e-05_ap-4.60
1,1188.6324376,0.08571,2.789,8e-05,4.5,0.21169181962324402,863524,23954.188311068017,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1188.6324376_acc-0.08571_epoch-1_ep-2.789_dl-8e-05_ap-4.50
1,1093.0519164,0.08,2.797,8e-05,4.5,0.20299366480379533,868746,25550.21326297618,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1093.0519164_acc-0.08000_epoch-1_ep-2.797_dl-8e-05_ap-4.50
1,1015.4365031,0.08,2.806,8e-05,4.5,0.20318133201958233,868633,27143.81106121414,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1015.4365031_acc-0.08000_epoch-1_ep-2.806_dl-8e-05_ap-4.50
1,952.8834391,0.08571,2.815,8e-05,4.5,0.20218016893471713,869236,29655.730198169807,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-952.8834391_acc-0.08571_epoch-1_ep-2.815_dl-8e-05_ap-4.50
1,883.0578472,0.11429,2.824,8e-05,4.5,0.20192625294728117,869389,30886.31502265511,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-883.0578472_acc-0.11429_epoch-1_ep-2.824_dl-8e-05_ap-4.50
1,843.893734,0.10857,2.832,8e-05,4.5,0.19106310305087604,875960,34151.61295169999,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-843.8937340_acc-0.10857_epoch-1_ep-2.832_dl-8e-05_ap-4.50
1,801.5942464,0.12571,2.84,8e-05,4.5,0.18316112694438047,880771,32897.856521368885,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-801.5942464_acc-0.12571_epoch-1_ep-2.840_dl-8e-05_ap-4.50
1,775.120131,0.12571,2.848,8e-05,4.5,0.18731120775158416,878241,37099.2979135858,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-775.1201310_acc-0.12571_epoch-1_ep-2.848_dl-8e-05_ap-4.50
1,732.7340759,0.12571,2.857,8e-05,4.5,0.18444588383522742,879987,37342.85527521283,1000000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-732.7340759_acc-0.12571_epoch-1_ep-2.857_dl-8e-05_ap-4.50
