epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,1.9184313049434287,264542,51230.433114914624,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,2883.2779151,0.01714,2980172.792,8e-05,1.1,0.4083473885297053,753486,32776.783363142305,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-2883.2779151_acc-0.01714_epoch-1_ep-2980172.792_dl-8e-05_ap-1.10
1,2105.201142,0.01714,5776695.693,8e-05,1.1,0.17925653082437876,883158,18756.408840855278,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-2105.2011420_acc-0.01714_epoch-1_ep-5776695.693_dl-8e-05_ap-1.10
1,1766.087045,0.05714,8832355.85,8e-05,1.1,0.15282566407326215,899487,16409.89848861102,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-1766.0870450_acc-0.05714_epoch-1_ep-8832355.850_dl-8e-05_ap-1.10
1,1629.6734808,0.05714,11596486.594,8e-05,1.1,0.21063131096255105,864159,16580.720240195482,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-1629.6734808_acc-0.05714_epoch-1_ep-11596486.594_dl-8e-05_ap-1.10
1,1516.0010545,0.06286,14446996.423,8e-05,1.1,0.1690535162348148,889426,16145.934465799306,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-1516.0010545_acc-0.06286_epoch-1_ep-14446996.423_dl-8e-05_ap-1.10
1,1439.9471195,0.01714,17605231.744,8e-05,1.1,0.1563344680766363,897302,16883.904952139143,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-1439.9471195_acc-0.01714_epoch-1_ep-17605231.744_dl-8e-05_ap-1.10
1,1365.3120797,0.01714,20455741.573,8e-05,1.1,0.1936000458536924,874421,16211.621986031625,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-1365.3120797_acc-0.01714_epoch-1_ep-20455741.573_dl-8e-05_ap-1.10
1,1353.973389,0.05714,23570787.352,8e-05,1.1,0.16958077940653737,889101,17000.559368300233,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-1353.9733890_acc-0.05714_epoch-1_ep-23570787.352_dl-8e-05_ap-1.10
1,1262.6198265,0.06286,26480682.803,8e-05,1.1,0.13914523455584416,908057,17982.547257437414,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-1262.6198265_acc-0.06286_epoch-1_ep-26480682.803_dl-8e-05_ap-1.10
1,1232.1346669,0.06286,29358186.096,8e-05,1.1,0.1502809026943872,901075,17981.452581424917,1000000,model/partialdp/20210423/183122/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.25_dl-8e-05.pt_ppl-1232.1346669_acc-0.06286_epoch-1_ep-29358186.096_dl-8e-05_ap-1.10
