epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,1.918436758511362,264541,51230.433114914624,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3159.3380145,0.06286,2.548,8e-05,4.8,0.5249421029662393,694987,36709.49301834023,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-3159.3380145_acc-0.06286_epoch-1_ep-2.548_dl-8e-05_ap-4.80
1,2209.4563276,0.06286,2.61,8e-05,4.8,0.43047974334198713,742015,20980.968292061993,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-2209.4563276_acc-0.06286_epoch-1_ep-2.610_dl-8e-05_ap-4.80
1,1872.6400045,0.06286,2.643,8e-05,4.7,0.3715828656503817,772934,16784.928929914444,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-1872.6400045_acc-0.06286_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1723.4228332,0.06286,2.672,8e-05,4.7,0.32362064727566064,799062,17783.338506509423,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-1723.4228332_acc-0.06286_epoch-1_ep-2.672_dl-8e-05_ap-4.70
1,1600.2232239,0.05714,2.698,8e-05,4.6,0.287064439409086,819568,17360.02967021521,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-1600.2232239_acc-0.05714_epoch-1_ep-2.698_dl-8e-05_ap-4.60
1,1516.2936644,0.06286,2.715,8e-05,4.6,0.2680869046196115,830420,18818.189465549163,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-1516.2936644_acc-0.06286_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1436.4012918,0.01714,2.73,8e-05,4.6,0.2531988210070999,839034,19292.162627003658,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-1436.4012918_acc-0.01714_epoch-1_ep-2.730_dl-8e-05_ap-4.60
1,1395.3444986,0.05714,2.747,8e-05,4.6,0.2427957877134297,845106,20312.357649814647,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-1395.3444986_acc-0.05714_epoch-1_ep-2.747_dl-8e-05_ap-4.60
1,1319.3992383,0.06286,2.762,8e-05,4.6,0.23304701795608196,850836,21106.257146785494,1000000,model/partialdp/20210419/134345/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-1e-05_dl-8e-05.pt_ppl-1319.3992383_acc-0.06286_epoch-1_ep-2.762_dl-8e-05_ap-4.60
