epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
50,164.0274903,0.00022,0.152,8e-05,63.0,2.6449295934328703,159881,61683.91509525469,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-164.0274903_acc-0.00022_epoch-50_ep-0.152_dl-8e-05_ap-63.00
51,164.8189293,0.00022,3.013,8e-05,4.3,2.9715326886946585,127491,63440.0824270257,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-164.8189293_acc-0.00022_epoch-51_ep-3.013_dl-8e-05_ap-4.30
52,163.4392921,0.00022,3.157,8e-05,4.2,3.236313086154624,106114,64906.34319580407,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-163.4392921_acc-0.00022_epoch-52_ep-3.157_dl-8e-05_ap-4.20
53,162.4622681,0.00022,3.262,8e-05,4.2,3.1675133893903613,111297,59389.89799476136,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-162.4622681_acc-0.00022_epoch-53_ep-3.262_dl-8e-05_ap-4.20
54,161.5436939,0.00022,3.349,8e-05,4.1,3.0358394644721685,121933,69398.50734118943,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-161.5436939_acc-0.00022_epoch-54_ep-3.349_dl-8e-05_ap-4.10
55,160.5818475,0.00022,3.425,8e-05,4.1,2.9174390987265504,132362,58126.861446729745,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-160.5818475_acc-0.00022_epoch-55_ep-3.425_dl-8e-05_ap-4.10
56,159.9362464,0.00022,3.502,8e-05,4.1,3.264207505175211,104082,56965.908225522755,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-159.9362464_acc-0.00022_epoch-56_ep-3.502_dl-8e-05_ap-4.10
57,158.6119213,0.00022,3.564,8e-05,4.0,3.578835419826312,83688,56290.1733334056,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-158.6119213_acc-0.00022_epoch-57_ep-3.564_dl-8e-05_ap-4.00
58,157.4455637,0.00023,3.624,8e-05,4.0,2.908810657137039,133156,57387.79472445209,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-157.4455637_acc-0.00023_epoch-58_ep-3.624_dl-8e-05_ap-4.00
59,157.8541681,0.00021,3.684,8e-05,4.0,2.9391723189880494,130383,63451.26352560291,1000000,model/partialdp/20210427/213754/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-157.8541681_acc-0.00021_epoch-59_ep-3.684_dl-8e-05_ap-4.00
