epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,49589.6312025,0.0,0.152,8e-05,63.0,2.4299257260455143,185575,49998.40257237884,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-49589.6312025_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3119.3370809,4e-05,2.55,8e-05,4.8,1.8620348876872121,275088,29305.716509027334,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3119.3370809_acc-0.00004_epoch-1_ep-2.550_dl-8e-05_ap-4.80
1,2145.0674235,4e-05,2.614,8e-05,4.7,1.6589251170055022,316675,15645.654566926974,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2145.0674235_acc-0.00004_epoch-1_ep-2.614_dl-8e-05_ap-4.70
1,1856.6588311,4e-05,2.647,8e-05,4.7,1.6290992121481835,323290,14298.57443922922,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1856.6588311_acc-0.00004_epoch-1_ep-2.647_dl-8e-05_ap-4.70
1,1687.6715369,1e-05,2.678,8e-05,4.7,1.6511511954839122,318386,14850.904424706201,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1687.6715369_acc-0.00001_epoch-1_ep-2.678_dl-8e-05_ap-4.70
1,1630.7408641,1e-05,2.702,8e-05,4.6,1.7300572248240265,301440,15470.83604773701,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1630.7408641_acc-0.00001_epoch-1_ep-2.702_dl-8e-05_ap-4.60
1,1512.9004761,4e-05,2.717,8e-05,4.6,1.8437690860227072,278593,15365.413389754669,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1512.9004761_acc-0.00004_epoch-1_ep-2.717_dl-8e-05_ap-4.60
1,1426.9681607,4e-05,2.732,8e-05,4.6,1.8191545168209338,283387,17289.98024513507,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1426.9681607_acc-0.00004_epoch-1_ep-2.732_dl-8e-05_ap-4.60
1,1384.8374085,4e-05,2.748,8e-05,4.6,2.02481299788046,245737,16273.383353063438,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1384.8374085_acc-0.00004_epoch-1_ep-2.748_dl-8e-05_ap-4.60
1,1350.9174846,4e-05,2.764,8e-05,4.6,2.023293237969515,245996,17025.806871429497,1000000,model/partialdp/20210427/211322/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1350.9174846_acc-0.00004_epoch-1_ep-2.764_dl-8e-05_ap-4.60
