epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50434.7284032,0.0,0.152,8e-05,63.0,1.9184313049434287,264542,51230.433114914624,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-50434.7284032_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3147.1076373,0.04886,2.549,8e-05,4.8,0.5112114910375354,701633,32026.152360887656,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3147.1076373_acc-0.04886_epoch-1_ep-2.549_dl-8e-05_ap-4.80
1,2173.2121361,0.0514,2.609,8e-05,4.8,0.3932754197809736,761399,19447.528035926727,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2173.2121361_acc-0.05140_epoch-1_ep-2.609_dl-8e-05_ap-4.80
1,1868.317629,0.03836,2.643,8e-05,4.7,0.32408653781189045,798804,16854.317112294484,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1868.3176290_acc-0.03836_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1768.7428659,0.04669,2.673,8e-05,4.7,0.27563960595228565,826084,16909.800296733,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1768.7428659_acc-0.04669_epoch-1_ep-2.673_dl-8e-05_ap-4.70
1,1599.2704833,0.04572,2.699,8e-05,4.6,0.24486117019331388,843897,18011.401538841812,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1599.2704833_acc-0.04572_epoch-1_ep-2.699_dl-8e-05_ap-4.60
1,1531.075146,0.04572,2.715,8e-05,4.6,0.21517777982649378,861440,20154.607576536713,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1531.0751460_acc-0.04572_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1446.9130671,0.04572,2.731,8e-05,4.6,0.20687320501726703,866413,20162.789344924302,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1446.9130671_acc-0.04572_epoch-1_ep-2.731_dl-8e-05_ap-4.60
1,1399.1253512,0.04572,2.747,8e-05,4.6,0.21328989967936707,862568,20695.87043168323,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1399.1253512_acc-0.04572_epoch-1_ep-2.747_dl-8e-05_ap-4.60
1,1337.3867849,0.04702,2.763,8e-05,4.6,0.17755699223512167,884199,21062.290371948413,1000000,model/partialdp/20210511/113022/data-wikitext-2-add20b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1337.3867849_acc-0.04702_epoch-1_ep-2.763_dl-8e-05_ap-4.60
