epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,49790.7825918,0.0,0.152,8e-05,63.0,1.001330778410864,499539,50218.70937163768,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-49790.7825918_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,4894.4523714,0.04862,2.575,8e-05,4.8,0.17448787971963498,886082,32398.181773124048,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-4894.4523714_acc-0.04862_epoch-1_ep-2.575_dl-8e-05_ap-4.80
1,3479.4538945,0.04817,2.64,8e-05,4.7,0.12792301640901727,915148,17707.213775457956,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3479.4538945_acc-0.04817_epoch-1_ep-2.640_dl-8e-05_ap-4.70
1,3120.3620485,0.04868,2.683,8e-05,4.7,0.10806449072894608,927832,18284.79666008242,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3120.3620485_acc-0.04868_epoch-1_ep-2.683_dl-8e-05_ap-4.70
1,2854.98142,0.0487,2.711,8e-05,4.6,0.09650661982092856,935295,18563.695931917682,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2854.9814200_acc-0.04870_epoch-1_ep-2.711_dl-8e-05_ap-4.60
1,2673.5088521,0.04846,2.734,8e-05,4.6,0.08826547342608038,940653,18651.964903923494,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2673.5088521_acc-0.04846_epoch-1_ep-2.734_dl-8e-05_ap-4.60
1,2515.8239151,0.03925,2.756,8e-05,4.6,0.08917678880321844,940059,19398.937994925043,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2515.8239151_acc-0.03925_epoch-1_ep-2.756_dl-8e-05_ap-4.60
1,2378.5907755,0.04868,2.779,8e-05,4.6,0.09411925955730638,936844,19999.83570379749,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2378.5907755_acc-0.04868_epoch-1_ep-2.779_dl-8e-05_ap-4.60
1,2267.8593303,0.04868,2.793,8e-05,4.5,0.09870172774480324,933873,19435.569152214164,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2267.8593303_acc-0.04868_epoch-1_ep-2.793_dl-8e-05_ap-4.50
1,2168.7106726,0.04838,2.805,8e-05,4.5,0.10531337029494381,929603,19473.009207534826,1000000,model/partialdp/20210510/131908/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2168.7106726_acc-0.04838_epoch-1_ep-2.805_dl-8e-05_ap-4.50
