text,true,ppl,lowerppl,gpt2ppl,zlip,pred,metrics
 Norma,1,100.71710585424987,11399.989593800095,428220158953734.06,3.8073549220576055,1,0.008834841911524642
 Ava,1,267.5712768422433,10151.241919826909,6597271742357.267,3.584962500721156,1,0.026358477017441206
 Kenna,1,462.60044349425664,47364.52523397957,1.2446679247400262e+16,3.8073549220576055,1,0.009766812634751895
 Dena,1,666.8142366224479,10329.791326101407,2403974147668.69,3.546593564294939,1,0.06455253698470519
 Digna,1,668.2724116865311,10817.261973467575,373922379603.90796,3.6644977792004623,1,0.06177833293911713
 Krista,1,808.85223201986,71890.4020537324,2.0321983700391606e+23,3.7735572622751845,1,0.01125118526135529
 Debora,1,864.1508601606392,48222.121673614194,1949847793765962.0,3.906890595608518,1,0.01792021649336675
 Cara,1,1298.9673412218738,10051.785907869209,635490781893937.6,3.546593564294939,1,0.12922751768966304
 Lea,1,1464.0563422058992,13590.678533963963,8985587224413.39,3.584962500721156,1,0.10772503657908838
 Ina,1,1466.0151700105323,6418.331128126373,2.2176334995520468e+16,3.418295834054489,1,0.2284106476816332
 Lynda,1,1524.1878001390453,33800.93139258064,6499957621371047.0,3.8073549220576055,1,0.04509307102920859
 Cora,1,1705.6522070674318,10625.5331062132,754085843259.1315,3.546593564294939,1,0.16052391819004963
 Una,1,1886.035929084177,13105.225154079963,1146276498752.4246,3.584962500721156,1,0.14391480550008026
 Daniela,1,1973.3430432055936,144574.6505178485,1.622967048281502e+21,3.875,1,0.013649301839135168
 Kristin,1,2378.361444470068,74052.82366250906,3.3372608109709195e+22,3.75,1,0.032117093269924395
 Christa,0,2410.271460670717,7493.963175601827,30471630837605.457,4.0,1,0.321628409987103
 Golda,0,2955.008226811204,10994.894104131374,530790159075875.7,3.52164063634332,1,0.26876186335445
 Rebeca,1,2967.823840208888,61380.706927547304,2.1352333776046504e+16,3.506890595608518,1,0.04835108601326561
 Addie,1,3142.219838097388,15604.184872737245,446227340619598.4,3.521640636343319,1,0.20137032877553881
 Berta,0,3207.7228571657956,6432.049150434893,2.4245953044864683e+20,3.8073549220576055,1,0.49870931986720135
 Eldon,1,3208.3898152868837,8001.122412849078,3779508754853.0566,3.8073549220576055,1,0.4009924670236891
 Daron,1,3342.152522046869,78854.15918376127,8599949141092197.0,3.8073549220576055,1,0.04238397259754348
 Sena,1,3363.0242818441234,5783.782657598736,2302049345252.831,3.546593564294939,1,0.5814575825088761
 Vicki,1,3426.7124568960794,17698.58525762475,3.621505805055562e+26,3.6644977792004623,1,0.19361504928309528
 Kathie,1,3529.457784952231,235662.79837400027,7.278758455338445e+22,3.906890595608518,1,0.01497672865341661
 Althea,1,3579.8302412938747,3614.706533790419,2.9887865116708814e+22,3.7735572622751845,1,0.9903515562963356
 Janie,1,3648.8471862748083,60797.47951535287,9.059276577702872e+16,3.8073549220576055,1,0.06001642198593749
 Mattie,1,3685.487920777537,19115.529376158793,3851297237744.43,3.906890595608518,1,0.19280072491082245
 Lessie,1,3824.345600508398,18089.608865027676,5.4175151498429926e+17,3.906890595608518,1,0.2114111824663019
 Pattie,1,3895.343393271061,43139.73279863845,5.544681928408552e+19,3.906890595608518,1,0.0902959555047129
 Eda,1,3926.0035283887273,8086.3707103934075,292231393279870.1,3.584962500721156,1,0.48550872437033304
 Joie,1,3952.416953292606,21159.648302168745,46254568376079.836,3.7004397181410926,1,0.18679029522846585
 Darin,1,4010.139341940741,39539.60917100258,5602779364235744.0,3.8073549220576055,1,0.1014208138628159
 Susie,1,4023.949911336805,14124.98228880612,3985573739461.5225,3.8073549220576055,1,0.28488176686251404
 Tobie,1,4397.347301233477,17333.940773903556,1043077309758575.6,3.8073549220576055,1,0.2536842232583218
 Greta,0,4494.785119745365,49067.81664648518,4.796836673103845e+22,3.8073549220576055,1,0.09160352807479838
 Holli,1,4638.429149249371,23028.80965178797,1.790479659619268e+23,3.6644977792004623,1,0.20141853701453652
 Patti,1,4713.635510314393,54690.83831330441,2.6816994238092176e+16,3.8073549220576055,1,0.08618693104156948
 Hyon,0,4730.468827417527,6769.553626514836,30546872770643.125,3.7004397181410926,1,0.698785930122384
 Gracie,1,4761.009424475374,13629.656447858853,6.733968482770708e+17,3.7735572622751845,1,0.3493125041477698
 Justa,0,4848.448111358539,11879.475067472225,1.0414776445561415e+20,3.8073549220576055,1,0.40813656191209263
 Marta,0,4854.083221180944,11515.288807761906,31923276703665.34,3.8073549220576055,1,0.42153378019568544
 Goldie,1,4912.688213398153,22090.922535024125,794458199381363.2,3.5898980954642865,1,0.22238492781862393
 Christi,1,5009.1810115165845,14866.943151138774,29322396076539.934,4.0,1,0.336934160613434
 Nickie,1,5097.505864082862,12070.589408111235,5922357469691.532,3.640223928941851,1,0.4223079496563294
 Maira,1,5151.730248377955,4237.266314120584,5.00013750370131e+24,3.8073549220576055,1,1.2158145999013428
