text,true,ppl,lowerppl,gpt2ppl,zlip,pred,metrics
 Leland,1,1059.3857784014765,82532.36015730903,219885475362512.88,3.7735572622751845,1,0.012836004888049452
 Adaline,0,1546.5522516677515,14964.039388189329,992043845799049.2,3.875,1,0.10335125506876167
 Carisa,0,2751.3553365778816,14526.830997761639,3.2066735534974756e+16,3.640223928941851,1,0.18939817892848226
 Marlene,1,2950.9543328781565,18410.699957441546,1556827106697972.2,4.0,1,0.16028474418135255
 Violette,1,3350.0728328185955,165772.17330266073,2973480423757133.0,3.969815782426811,1,0.02020889734432181
 Gabrielle,1,3362.6201951574726,140730.16814651407,3.641566124776747e+24,4.058813890331201,1,0.02389409633659111
 Velia,1,3581.9697464698743,68614.36345659738,5886174404116.63,3.8073549220576055,1,0.052204371883966844
 Marinda,1,3762.7716655699114,306404.62747447414,430912477490402.5,4.0,1,0.012280400908381775
 Oma,1,3956.8106497007143,120794.51076239,1218509053429540.0,3.584962500721156,1,0.03275654352774355
 Katharine,1,4119.170854393775,240372.83130634154,4.600340976411825e+22,4.058813890331201,1,0.017136590820216804
 Synthia,0,4407.070498853571,2995.40049087796,444252041123275.6,4.0,1,1.4712792203495455
 Cristobal,0,4703.0296249781695,104441.97652677506,1.2421423231197854e+20,4.058813890331201,1,0.04503007106316574
 Ashlee,1,4703.27182977708,444539.89145407337,4302770149092087.0,3.906890595608518,1,0.010580089481717498
 Deena,1,5320.623119088516,76719.2273561941,441166612252442.4,3.8073549220576055,1,0.06935188612348485
 Malissa,0,6161.891484727323,236906.89094680644,185831536932743.78,3.875,1,0.026009760459483108
 Ernestina,0,6462.424538488939,99398.64827825227,2.138423277203205e+26,3.725480556997868,1,0.06501521550271296
 Marta,0,6504.854056312726,30763.274815904795,27112111511199.64,3.8073549220576055,1,0.21144868663168714
 Corrina,0,6514.2343201814665,23176.602873349457,310929214242368.94,4.0,1,0.28106941969791954
 Russel,1,6736.643978966328,62477.81272358053,3.4595093198665285e+22,3.906890595608518,1,0.10782458100399804
 Shana,1,6740.846954613696,40324.41864970175,3129522971016667.0,3.8073549220576055,1,0.1671653846561667
 Kieth,1,7149.609936283633,352864.01787414483,2.5750132986295836e+16,3.6644977792004623,1,0.020261657675829298
 Lora,1,7160.677938175767,50672.05645036629,1.815394036361434e+16,3.546593564294939,1,0.14131413721465425
 Dara,0,7435.524142353775,272293.82287549676,1434424254891064.0,3.546593564294939,1,0.027306987958201252
 Alleen,1,7675.709721517237,155550.1331241823,1.3137590211436196e+16,3.906890595608518,1,0.04934556832162523
 Fatima,0,8295.243025289385,64670.14764024932,6137156812498217.0,3.906890595608518,1,0.12827004928819125
