text,true,ppl,lowerppl,gpt2ppl,zlip,pred,metrics
 Marcella,1,4360.960569198638,4428.489977013548,9.022599327049139e+20,4.08746284125034,1,0.9847511435804468
 Dorothea,0,5150.585629585569,22429.247622116967,2.453122014960201e+22,3.8521687236032816,1,0.2296370219974162
 Elvera,0,5437.095647700168,6713.699263335964,3.231226758927117e+24,3.906890595608518,1,0.8098509382737132
 Loida,0,5815.807736245597,5799.532494903011,1.287095176604523e+26,3.8073549220576055,1,1.0028063022936573
 Tanisha,0,5891.7692135738625,6582.416282890515,1.7065296309335964e+26,4.0,1,0.8950769687551012
 Rebecka,0,5893.2893028716435,6192.473180557593,2.9735121874478133e+21,3.625,1,0.9516858823667913
 Lea,1,6356.15720233244,8691.864445799878,11850279548860.094,3.584962500721156,1,0.7312766141220588
 Retha,1,6633.780260121988,45280.92477612192,1161822722712654.5,3.8073549220576055,1,0.14650275569504695
 Lashawna,0,6723.383896437997,6574.628969185013,4.453192234400399e+25,3.969815782426811,1,1.0226256003114687
 Berta,0,6802.701893568544,4759.370603275923,5.665022066210764e+20,3.8073549220576055,1,1.429328047890655
 Maira,1,7150.948172386994,8165.08163530883,1.1598890283251324e+25,3.8073549220576055,1,0.8757962861588121
 Michaela,0,7228.466872386587,10257.427444910365,1.0803268625202798e+24,3.8521687236032816,1,0.704705630257544
 Mirta,0,7233.38195834947,7575.556078252551,1.037284347368126e+23,3.8073549220576055,1,0.954831814804279
 Letha,0,7270.48786091335,44902.031233815906,2129627572477670.5,3.8073549220576055,1,0.1619189079232103
 Etha,0,7373.608877389415,8499.502155216362,1510219066114.6768,3.546593564294939,1,0.8675342087964579
 Alyssa,1,7471.931665500503,6664.380562973132,2.8409625412598303e+21,3.906890595608518,1,1.121174217903172
 Mirtha,0,7511.016948875028,8949.878852251177,6.280854938930143e+24,3.906890595608518,1,0.8392311307080732
 Rebeca,1,7738.796214895382,67316.76626127456,3.1418690569517708e+16,3.506890595608518,1,0.11496090268001025
 Lynda,1,7817.297315610418,39766.99818393596,9018928760411240.0,3.8073549220576055,1,0.1965775057863997
 Carmina,0,7830.608633759931,6713.945771139771,1.0713821170618167e+24,4.0,1,1.1663199109263276
 Freda,0,7866.686528666185,8129.765150673935,6.171398286629975e+19,3.8073549220576055,1,0.9676400711297372
 Aleta,0,7884.193741681851,5922.110082519676,2.478885517937606e+24,3.6644977792004623,1,1.3313149589964002
 Sena,1,8082.731576868167,8167.31481375874,2781885383197.4067,3.546593564294939,1,0.9896436908801308
 Reta,0,8131.339192122184,8827.798433209407,11454553090908.48,3.546593564294939,1,0.921106123303948
 Una,1,8155.383064705385,10064.869897322102,1435221183191.1997,3.584962500721156,1,0.8102820153567248
 Lorna,1,8191.390850487083,8358.649187489202,8.203200329479488e+22,3.8073549220576055,1,0.9799897886308637
 Alica,0,8396.243035264153,60774.58133559849,9324941772740520.0,3.8073549220576055,1,0.1381538605572604
 Justa,0,8419.046653962123,11065.108384909474,5.080367023857075e+19,3.8073549220576055,1,0.7608643640078543
 Laverna,0,8557.917524831102,7697.224391013067,1.2177008389749828e+23,3.875,1,1.1118186361856544
 Krista,1,8691.491439449019,8405.007572358958,5.059113566052504e+23,3.7735572622751845,1,1.0340849029133778
 Nellie,1,8709.025519008514,12875.875012370892,3.7104445682733647e+21,3.7735572622751845,1,0.6763831980848719
 Dortha,1,8722.713468321446,7639.797270916402,5.784572603166018e+24,3.7735572622751845,1,1.1417467190559556
 Gena,1,8938.657745336835,9190.643884988564,2976398119334.973,3.3927474104487847,1,0.9725823192797942
 Debora,1,8955.800019550905,43477.48069360958,2631394781756696.0,3.906890595608518,1,0.20598709669181106
 Shyla,0,8976.595635072337,10408.67943364104,5.789828254420205e+17,3.8073549220576055,1,0.8624144582702603
 Althea,1,9008.047151308932,8909.323927168673,6.261029407445863e+22,3.7735572622751845,1,1.0110808883981877
 Gretta,1,9153.433611893677,48811.910864208294,1059822728471398.5,3.773557262275185,1,0.18752459081878523
 Dena,1,9266.570422336885,7789.576128761768,2946444575636.9224,3.546593564294939,1,1.1896116385744728
 Violeta,0,9309.051141765722,8083.926450673073,675076626133982.6,3.875,1,1.1515506973706624
 Kiera,0,9433.09421502265,70083.32607128401,8.095506100870816e+16,3.8073549220576055,1,0.13459826671793437
 Sallie,0,9508.486592610112,9891.531642240603,8.925481698679629e+24,3.640223928941851,1,0.96127545627062
 Christa,0,9589.834772639197,10560.192663651755,39928421810933.07,4.0,1,0.9081117246702766
 Teressa,1,9598.179169045212,9883.526012209286,1.7199985280438793e+25,3.875,1,0.9711290441476473
 Maura,0,9598.765013288876,57855.895639543436,2.225548858920803e+16,3.8073549220576055,1,0.16590815693341884
 Cara,1,9660.63469632096,7031.492712308947,889998782732494.4,3.546593564294939,1,1.3739095084902215
 Graciela,0,9677.615524906418,80379.03127623467,1.4630148489965958e+22,3.969815782426811,1,0.12039975316009757
 Cora,1,9727.429190656865,10367.511531380498,1195552383728.9358,3.546593564294939,1,0.9382607543974053
 Digna,1,9905.70116422486,10938.05258840169,590104346134.9124,3.6644977792004623,1,0.9056183524596053
 Nathalie,0,9970.856626065248,28633.371375145605,4.7034025225892085e+22,3.969815782426811,1,0.34822503069688016
 Eda,1,9988.382742365025,8382.545754367575,357502100480623.3,3.584962500721156,1,1.1915691288843557
 Lillie,1,10044.747360790945,9804.220239985174,3.357677605479128e+21,3.5898980954642865,1,1.0245330189365611
 Ava,1,10110.875263716463,7759.55524581829,8753678672888.023,3.584962500721156,1,1.3030225242826032
 Marta,0,10114.048138045358,10964.904468657438,49560627521946.49,3.8073549220576055,1,0.9224018473627195
 Tiera,0,10183.132647403525,8526.545362665745,2753210800825798.0,3.8073549220576055,1,1.1942858701006034
 Daniela,1,10270.588109054377,8243.554325754592,2.6043896221945897e+21,3.875,1,1.2458931794707662
