text,true,ppl,lowerppl,gpt2ppl,zlip,pred,metrics
 Norma,1,4243.487912763582,12181.80387004117,428220158953734.06,3.8073549220576055,1,0.348346431943436
 Letha,0,9179.020244429188,35939.545200932014,1614816530456144.8,3.8073549220576055,1,0.2554016806031021
 Dena,1,9669.049918936573,14821.50065093884,2403974147668.69,3.546593564294939,1,0.6523664604989985
 Ava,1,9993.384968159284,16984.250166056812,6597271742357.267,3.584962500721156,1,0.5883912960803628
 Daniela,1,10469.402500771761,20541.254615750953,1.622967048281502e+21,3.875,1,0.5096768769296041
 Kenna,1,10633.622555809368,41947.439305920016,1.2446679247400262e+16,3.8073549220576055,1,0.2534987291657789
 Justa,0,10816.622391391393,20021.55770896393,1.0414776445561415e+20,3.8073549220576055,1,0.5402487932569123
 Michaela,0,10963.607883799243,24678.507252556617,6.154742075059527e+23,3.8521687236032816,1,0.44425733581043264
 Greta,0,11131.746845388943,17959.433174976664,4.796836673103845e+22,3.8073549220576055,1,0.6198272928178541
 Golda,0,11149.277135030236,10803.931418737278,530790159075875.7,3.52164063634332,1,1.031964819370662
 Debora,1,11998.422253897716,31744.13480916073,1949847793765962.0,3.906890595608518,1,0.3779728862049568
 Lynda,1,12067.608320817606,43887.56790811012,6499957621371047.0,3.8073549220576055,1,0.27496644029316547
 Lea,1,12166.362425247835,14997.570514728737,8985587224413.39,3.584962500721156,1,0.8112222185119621
 Digna,1,12166.559673552045,15282.24686086293,373922379603.90796,3.6644977792004623,1,0.796123749624147
 Cara,1,13103.775452738671,11753.93637157783,635490781893937.6,3.546593564294939,1,1.1148414487273288
 Gena,1,13163.344911836153,16301.536785933966,2393186483540.488,3.3927474104487847,1,0.8074910411633307
 Reta,0,13876.98172400419,19569.344980425114,8240921495064.109,3.546593564294939,1,0.7091183551562457
 Violeta,0,14242.175346579528,12482.93090063403,675032848933153.9,3.875,1,1.1409320022636786
 Graciela,0,14437.231504689351,49963.098431970495,8.519508544974539e+21,3.969815782426811,1,0.28895789007855494
 Krista,1,14548.847603517504,25559.57986918335,2.0321983700391606e+23,3.7735572622751845,1,0.5692130965367996
 Alyssa,1,14970.748177022992,15424.523410914884,2.517423827357277e+21,3.906890595608518,1,0.9705809235200884
 Freda,0,15297.046923408481,17811.083278002625,2.835848999288819e+19,3.8073549220576055,1,0.8588498905229939
 Alica,0,15840.636732267785,37364.157876385194,7627798863447573.0,3.8073549220576055,1,0.423952729904274
 Tiera,0,15970.449815684784,11643.629621709524,2481310322458247.5,3.8073549220576055,1,1.371604073175594
 Berta,0,16008.6022960113,13884.838398104397,2.4245953044864683e+20,3.8073549220576055,1,1.1529556079094767
 Afton,1,16133.28229999412,16553.33830909788,478098775538882.75,3.8073549220576055,1,0.9746240908474099
 Cora,1,16157.132666437315,12675.409892115473,754085843259.1315,3.546593564294939,1,1.274683249216863
 Dreama,0,16180.478200927711,18130.939075524202,365590712952979.7,3.7735572622751845,1,0.8924236154304049
 Sena,1,16191.252559312938,15527.556319590158,2302049345252.831,3.546593564294939,1,1.0427431223601769
