epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50302.3359669,0.0,0.152,8e-05,63.0,0.482,0.472,0.522,0.49,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-50302.3359669_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,1125.8576611,0.07909,1.785,8e-05,6.4,0.476,0.504,0.518,0.474,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-1125.8576611_acc-0.07909_epoch-1_ep-1.785_dl-8e-05_ap-6.40
2,467.1852171,0.07909,1.823,8e-05,6.4,0.496,0.512,0.52,0.494,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-467.1852171_acc-0.07909_epoch-2_ep-1.823_dl-8e-05_ap-6.40
3,354.3128031,0.0888,1.845,8e-05,6.3,0.466,0.51,0.52,0.48,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-354.3128031_acc-0.08880_epoch-3_ep-1.845_dl-8e-05_ap-6.30
4,286.1578615,0.10792,1.867,8e-05,6.3,0.494,0.52,0.52,0.494,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-286.1578615_acc-0.10792_epoch-4_ep-1.867_dl-8e-05_ap-6.30
5,236.5129185,0.16322,1.883,8e-05,6.2,0.49,0.478,0.52,0.49,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-236.5129185_acc-0.16322_epoch-5_ep-1.883_dl-8e-05_ap-6.20
6,199.1235105,0.21286,1.896,8e-05,6.2,0.484,0.486,0.52,0.482,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-199.1235105_acc-0.21286_epoch-6_ep-1.896_dl-8e-05_ap-6.20
7,169.0001153,0.215,1.91,8e-05,6.2,0.482,0.488,0.52,0.484,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-169.0001153_acc-0.21500_epoch-7_ep-1.910_dl-8e-05_ap-6.20
8,140.2583903,0.27072,1.924,8e-05,6.2,0.48,0.49,0.524,0.482,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-140.2583903_acc-0.27072_epoch-8_ep-1.924_dl-8e-05_ap-6.20
9,118.4836175,0.29709,1.936,8e-05,6.1,0.484,0.478,0.524,0.488,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-118.4836175_acc-0.29709_epoch-9_ep-1.936_dl-8e-05_ap-6.10
10,98.6625077,0.31718,1.945,8e-05,6.1,0.48,0.48,0.524,0.476,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-98.6625077_acc-0.31718_epoch-10_ep-1.945_dl-8e-05_ap-6.10
11,86.2161151,0.34163,1.955,8e-05,6.1,0.482,0.5,0.524,0.482,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-86.2161151_acc-0.34163_epoch-11_ep-1.955_dl-8e-05_ap-6.10
12,75.8092834,0.39231,1.964,8e-05,6.1,0.472,0.474,0.518,0.46,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-75.8092834_acc-0.39231_epoch-12_ep-1.964_dl-8e-05_ap-6.10
13,66.4086227,0.41865,1.974,8e-05,6.1,0.478,0.482,0.526,0.48,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-66.4086227_acc-0.41865_epoch-13_ep-1.974_dl-8e-05_ap-6.10
14,60.5259037,0.434,1.983,8e-05,6.1,0.482,0.474,0.526,0.492,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-60.5259037_acc-0.43400_epoch-14_ep-1.983_dl-8e-05_ap-6.10
15,53.7957847,0.46567,1.993,8e-05,6.1,0.476,0.462,0.52,0.476,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-53.7957847_acc-0.46567_epoch-15_ep-1.993_dl-8e-05_ap-6.10
16,48.1566187,0.48142,2.002,8e-05,6.1,0.488,0.476,0.52,0.482,1000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-48.1566187_acc-0.48142_epoch-16_ep-2.002_dl-8e-05_ap-6.10
