epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50711.4671458,0.0,0.152,8e-05,63.0,0.498,0.49,0.464,0.486,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-50711.4671458_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,1042.5926539,0.07909,1.785,8e-05,6.4,0.512,0.498,0.462,0.494,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-1042.5926539_acc-0.07909_epoch-1_ep-1.785_dl-8e-05_ap-6.40
2,455.9316874,0.07909,1.823,8e-05,6.4,0.49,0.508,0.464,0.492,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-455.9316874_acc-0.07909_epoch-2_ep-1.823_dl-8e-05_ap-6.40
3,352.5859884,0.08559,1.845,8e-05,6.3,0.522,0.51,0.462,0.518,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-352.5859884_acc-0.08559_epoch-3_ep-1.845_dl-8e-05_ap-6.30
4,304.6991012,0.11271,1.867,8e-05,6.3,0.504,0.488,0.462,0.506,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-304.6991012_acc-0.11271_epoch-4_ep-1.867_dl-8e-05_ap-6.30
5,289.0206703,0.10028,1.883,8e-05,6.2,0.508,0.482,0.466,0.508,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-289.0206703_acc-0.10028_epoch-5_ep-1.883_dl-8e-05_ap-6.20
6,266.9217396,0.1302,1.896,8e-05,6.2,0.512,0.49,0.468,0.512,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-266.9217396_acc-0.13020_epoch-6_ep-1.896_dl-8e-05_ap-6.20
7,231.5602046,0.15499,1.91,8e-05,6.2,0.492,0.492,0.47,0.492,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-231.5602046_acc-0.15499_epoch-7_ep-1.910_dl-8e-05_ap-6.20
8,206.7152012,0.21134,1.924,8e-05,6.2,0.488,0.508,0.47,0.492,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-206.7152012_acc-0.21134_epoch-8_ep-1.924_dl-8e-05_ap-6.20
9,190.795428,0.23128,1.936,8e-05,6.1,0.488,0.504,0.47,0.496,1000,model/dp/20210502/123625/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-190.7954280_acc-0.23128_epoch-9_ep-1.936_dl-8e-05_ap-6.10
