epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50683.9738211,0.0,0.152,8e-05,63.0,0.5666666666666667,0.5333333333333333,0.48,0.48,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-50683.9738211_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,1152.2652424,0.07909,1.785,8e-05,6.4,0.5333333333333333,0.5266666666666666,0.48,0.5066666666666667,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-1152.2652424_acc-0.07909_epoch-1_ep-1.785_dl-8e-05_ap-6.40
2,475.560556,0.07909,1.823,8e-05,6.4,0.54,0.5266666666666666,0.48,0.5533333333333333,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-475.5605560_acc-0.07909_epoch-2_ep-1.823_dl-8e-05_ap-6.40
3,355.4873418,0.0888,1.845,8e-05,6.3,0.5466666666666666,0.5066666666666667,0.48,0.5466666666666666,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-355.4873418_acc-0.08880_epoch-3_ep-1.845_dl-8e-05_ap-6.30
4,290.0843796,0.0888,1.867,8e-05,6.3,0.56,0.49333333333333335,0.4866666666666667,0.54,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-290.0843796_acc-0.08880_epoch-4_ep-1.867_dl-8e-05_ap-6.30
5,242.4301057,0.15396,1.883,8e-05,6.2,0.5266666666666666,0.5066666666666667,0.48,0.5066666666666667,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-242.4301057_acc-0.15396_epoch-5_ep-1.883_dl-8e-05_ap-6.20
6,216.6093845,0.16599,1.896,8e-05,6.2,0.5266666666666666,0.5066666666666667,0.48,0.52,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-216.6093845_acc-0.16599_epoch-6_ep-1.896_dl-8e-05_ap-6.20
7,192.4263898,0.19673,1.91,8e-05,6.2,0.5333333333333333,0.4866666666666667,0.48,0.52,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-192.4263898_acc-0.19673_epoch-7_ep-1.910_dl-8e-05_ap-6.20
8,170.5854532,0.24331,1.924,8e-05,6.2,0.5133333333333333,0.4866666666666667,0.48,0.5133333333333333,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-170.5854532_acc-0.24331_epoch-8_ep-1.924_dl-8e-05_ap-6.20
9,147.2042073,0.27872,1.936,8e-05,6.1,0.49333333333333335,0.49333333333333335,0.4866666666666667,0.4866666666666667,300,model/dp/20210508/123015/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-147.2042073_acc-0.27872_epoch-9_ep-1.936_dl-8e-05_ap-6.10
