epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50400.7348034,1e-05,0.152,8e-05,63.0,0.5,0.4666666666666667,0.4666666666666667,0.43333333333333335,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-50400.7348034_acc-0.00001_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,1079.6571311,0.07909,1.785,8e-05,6.4,0.5333333333333333,0.5,0.4666666666666667,0.5,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-1079.6571311_acc-0.07909_epoch-1_ep-1.785_dl-8e-05_ap-6.40
2,450.9079351,0.07909,1.823,8e-05,6.4,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.4666666666666667,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-450.9079351_acc-0.07909_epoch-2_ep-1.823_dl-8e-05_ap-6.40
3,346.8199276,0.0888,1.845,8e-05,6.3,0.5,0.43333333333333335,0.4666666666666667,0.5,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-346.8199276_acc-0.08880_epoch-3_ep-1.845_dl-8e-05_ap-6.30
4,283.4967678,0.11118,1.867,8e-05,6.3,0.5,0.4666666666666667,0.4666666666666667,0.43333333333333335,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-283.4967678_acc-0.11118_epoch-4_ep-1.867_dl-8e-05_ap-6.30
5,246.4377064,0.12987,1.883,8e-05,6.2,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-246.4377064_acc-0.12987_epoch-5_ep-1.883_dl-8e-05_ap-6.20
6,215.2954863,0.19571,1.896,8e-05,6.2,0.4666666666666667,0.5,0.4666666666666667,0.4666666666666667,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-215.2954863_acc-0.19571_epoch-6_ep-1.896_dl-8e-05_ap-6.20
7,183.0698227,0.20008,1.91,8e-05,6.2,0.4,0.36666666666666664,0.4666666666666667,0.4,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-183.0698227_acc-0.20008_epoch-7_ep-1.910_dl-8e-05_ap-6.20
8,153.3085843,0.28009,1.924,8e-05,6.2,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.43333333333333335,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-153.3085843_acc-0.28009_epoch-8_ep-1.924_dl-8e-05_ap-6.20
9,137.6874263,0.28782,1.936,8e-05,6.1,0.4,0.43333333333333335,0.4666666666666667,0.43333333333333335,60,model/dp/20210506/022233/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-137.6874263_acc-0.28782_epoch-9_ep-1.936_dl-8e-05_ap-6.10
