epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50302.3344768,0.0,0.0,0.0,0.0,0.482,0.472,0.524,0.49,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-50302.3344768_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,287.8114294,0.07909,0.0,0.0,0.0,0.48,0.49,0.52,0.48,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-287.8114294_acc-0.07909_epoch-1_ep-0.000_dl-0_ap-0.00
1,205.3106615,0.07909,0.0,0.0,0.0,0.492,0.498,0.524,0.486,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-205.3106615_acc-0.07909_epoch-1_ep-0.000_dl-0_ap-0.00
1,161.701708,0.0888,0.0,0.0,0.0,0.482,0.514,0.528,0.478,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-161.7017080_acc-0.08880_epoch-1_ep-0.000_dl-0_ap-0.00
1,127.0973201,0.12689,0.0,0.0,0.0,0.478,0.502,0.524,0.48,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-127.0973201_acc-0.12689_epoch-1_ep-0.000_dl-0_ap-0.00
1,103.55341,0.19491,0.0,0.0,0.0,0.482,0.496,0.524,0.482,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-103.5534100_acc-0.19491_epoch-1_ep-0.000_dl-0_ap-0.00
1,86.7680332,0.20251,0.0,0.0,0.0,0.484,0.488,0.524,0.486,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-86.7680332_acc-0.20251_epoch-1_ep-0.000_dl-0_ap-0.00
1,78.1768826,0.19124,0.0,0.0,0.0,0.49,0.486,0.524,0.486,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-78.1768826_acc-0.19124_epoch-1_ep-0.000_dl-0_ap-0.00
1,69.1388315,0.22517,0.0,0.0,0.0,0.49,0.488,0.522,0.486,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-69.1388315_acc-0.22517_epoch-1_ep-0.000_dl-0_ap-0.00
1,63.2700686,0.24086,0.0,0.0,0.0,0.49,0.49,0.522,0.486,1000,model/nodp/20210511/201555/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-63.2700686_acc-0.24086_epoch-1_ep-0.000_dl-0_ap-0.00
