epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49470.3834772,0.0,0.0,0.0,0.0,0.494,0.484,0.524,0.496,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-49470.3834772_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,425.333074,0.07909,0.0,0.0,0.0,0.492,0.462,0.52,0.5,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-425.3330740_acc-0.07909_epoch-1_ep-0.000_dl-0_ap-0.00
1,343.8550122,0.07229,0.0,0.0,0.0,0.498,0.462,0.522,0.5,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-343.8550122_acc-0.07229_epoch-1_ep-0.000_dl-0_ap-0.00
1,255.6022332,0.0888,0.0,0.0,0.0,0.494,0.484,0.524,0.494,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-255.6022332_acc-0.08880_epoch-1_ep-0.000_dl-0_ap-0.00
1,219.5492139,0.09851,0.0,0.0,0.0,0.496,0.49,0.528,0.488,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-219.5492139_acc-0.09851_epoch-1_ep-0.000_dl-0_ap-0.00
1,212.3082574,0.05307,0.0,0.0,0.0,0.496,0.482,0.528,0.488,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-212.3082574_acc-0.05307_epoch-1_ep-0.000_dl-0_ap-0.00
1,189.4548457,0.0906,0.0,0.0,0.0,0.482,0.478,0.526,0.478,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-189.4548457_acc-0.09060_epoch-1_ep-0.000_dl-0_ap-0.00
1,159.7881892,0.10527,0.0,0.0,0.0,0.476,0.486,0.526,0.478,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-159.7881892_acc-0.10527_epoch-1_ep-0.000_dl-0_ap-0.00
1,141.5128175,0.11385,0.0,0.0,0.0,0.486,0.488,0.526,0.486,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-141.5128175_acc-0.11385_epoch-1_ep-0.000_dl-0_ap-0.00
1,111.9987169,0.13615,0.0,0.0,0.0,0.488,0.49,0.522,0.484,1000,model/nodp/20210515/131209/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-2.0_dp-False_partial-False_0hidden-False.pt_ppl-111.9987169_acc-0.13615_epoch-1_ep-0.000_dl-0_ap-0.00
