epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49470.3929737,0.0,0.0,0.0,0.0,0.494,0.484,0.524,0.496,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-49470.3929737_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,1725.4542522,0.04358,0.0,0.0,0.0,0.494,0.468,0.52,0.496,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-1725.4542522_acc-0.04358_epoch-1_ep-0.000_dl-0_ap-0.00
1,1461.3092852,0.07909,0.0,0.0,0.0,0.476,0.49,0.526,0.478,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-1461.3092852_acc-0.07909_epoch-1_ep-0.000_dl-0_ap-0.00
1,678.7164864,0.07905,0.0,0.0,0.0,0.478,0.484,0.522,0.486,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-678.7164864_acc-0.07905_epoch-1_ep-0.000_dl-0_ap-0.00
1,416.1115822,0.13884,0.0,0.0,0.0,0.466,0.482,0.524,0.478,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-416.1115822_acc-0.13884_epoch-1_ep-0.000_dl-0_ap-0.00
1,189.6118399,0.19575,0.0,0.0,0.0,0.474,0.474,0.522,0.482,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-189.6118399_acc-0.19575_epoch-1_ep-0.000_dl-0_ap-0.00
1,83.888516,0.26679,0.0,0.0,0.0,0.484,0.478,0.52,0.49,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-83.8885160_acc-0.26679_epoch-1_ep-0.000_dl-0_ap-0.00
1,40.733562,0.40015,0.0,0.0,0.0,0.506,0.47,0.522,0.496,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-40.7335620_acc-0.40015_epoch-1_ep-0.000_dl-0_ap-0.00
1,21.3706551,0.49744,0.0,0.0,0.0,0.502,0.492,0.52,0.5,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-21.3706551_acc-0.49744_epoch-1_ep-0.000_dl-0_ap-0.00
1,16.389844,0.58551,0.0,0.0,0.0,0.486,0.486,0.522,0.49,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-16.3898440_acc-0.58551_epoch-1_ep-0.000_dl-0_ap-0.00
1,10.2610415,0.61321,0.0,0.0,0.0,0.514,0.508,0.522,0.512,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-10.2610415_acc-0.61321_epoch-1_ep-0.000_dl-0_ap-0.00
1,7.2786462,0.70691,0.0,0.0,0.0,0.508,0.496,0.522,0.504,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-7.2786462_acc-0.70691_epoch-1_ep-0.000_dl-0_ap-0.00
1,6.2890111,0.73801,0.0,0.0,0.0,0.508,0.504,0.52,0.51,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-6.2890111_acc-0.73801_epoch-1_ep-0.000_dl-0_ap-0.00
1,5.9441207,0.72522,0.0,0.0,0.0,0.516,0.51,0.522,0.514,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-5.9441207_acc-0.72522_epoch-1_ep-0.000_dl-0_ap-0.00
1,5.8224233,0.72936,0.0,0.0,0.0,0.512,0.512,0.522,0.514,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-5.8224233_acc-0.72936_epoch-1_ep-0.000_dl-0_ap-0.00
1,5.8295017,0.72116,0.0,0.0,0.0,0.522,0.5,0.522,0.518,1000,model/nodp/20210503/220437/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-5.8295017_acc-0.72116_epoch-1_ep-0.000_dl-0_ap-0.00
