epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50400.7394618,1e-05,0.0,0.0,0.0,0.508,0.504,0.464,0.484,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-50400.7394618_acc-0.00001_epoch-0_ep-0.000_dl-0_ap-0.00
1,289.7167853,0.07909,0.0,0.0,0.0,0.52,0.504,0.464,0.496,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-289.7167853_acc-0.07909_epoch-1_ep-0.000_dl-0_ap-0.00
1,204.9737062,0.08559,0.0,0.0,0.0,0.508,0.512,0.464,0.496,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-204.9737062_acc-0.08559_epoch-1_ep-0.000_dl-0_ap-0.00
1,165.2495175,0.11792,0.0,0.0,0.0,0.502,0.512,0.464,0.502,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-165.2495175_acc-0.11792_epoch-1_ep-0.000_dl-0_ap-0.00
1,135.7150571,0.10657,0.0,0.0,0.0,0.518,0.51,0.464,0.51,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-135.7150571_acc-0.10657_epoch-1_ep-0.000_dl-0_ap-0.00
1,113.3979645,0.14677,0.0,0.0,0.0,0.52,0.502,0.464,0.51,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-113.3979645_acc-0.14677_epoch-1_ep-0.000_dl-0_ap-0.00
1,101.765173,0.15031,0.0,0.0,0.0,0.52,0.51,0.464,0.514,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-101.7651730_acc-0.15031_epoch-1_ep-0.000_dl-0_ap-0.00
1,90.148864,0.1926,0.0,0.0,0.0,0.516,0.5,0.464,0.516,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-90.1488640_acc-0.19260_epoch-1_ep-0.000_dl-0_ap-0.00
1,83.4277873,0.19908,0.0,0.0,0.0,0.516,0.498,0.464,0.516,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-83.4277873_acc-0.19908_epoch-1_ep-0.000_dl-0_ap-0.00
1,78.2312452,0.21361,0.0,0.0,0.0,0.52,0.488,0.464,0.516,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-78.2312452_acc-0.21361_epoch-1_ep-0.000_dl-0_ap-0.00
1,71.6089642,0.23452,0.0,0.0,0.0,0.518,0.482,0.464,0.52,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-71.6089642_acc-0.23452_epoch-1_ep-0.000_dl-0_ap-0.00
1,60.6728612,0.24997,0.0,0.0,0.0,0.52,0.482,0.464,0.52,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-60.6728612_acc-0.24997_epoch-1_ep-0.000_dl-0_ap-0.00
1,52.0747183,0.26524,0.0,0.0,0.0,0.514,0.486,0.464,0.516,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-52.0747183_acc-0.26524_epoch-1_ep-0.000_dl-0_ap-0.00
1,55.731175,0.25982,0.0,0.0,0.0,0.518,0.482,0.464,0.516,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-55.7311750_acc-0.25982_epoch-1_ep-0.000_dl-0_ap-0.00
2,45.0406135,0.29824,0.0,0.0,0.0,0.512,0.48,0.464,0.518,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-45.0406135_acc-0.29824_epoch-2_ep-0.000_dl-0_ap-0.00
2,39.8603793,0.31507,0.0,0.0,0.0,0.514,0.478,0.464,0.52,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-39.8603793_acc-0.31507_epoch-2_ep-0.000_dl-0_ap-0.00
2,34.8302231,0.34295,0.0,0.0,0.0,0.528,0.476,0.464,0.52,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-34.8302231_acc-0.34295_epoch-2_ep-0.000_dl-0_ap-0.00
2,30.5459194,0.36553,0.0,0.0,0.0,0.528,0.48,0.464,0.524,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-30.5459194_acc-0.36553_epoch-2_ep-0.000_dl-0_ap-0.00
2,27.7111539,0.3629,0.0,0.0,0.0,0.528,0.488,0.464,0.522,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-27.7111539_acc-0.36290_epoch-2_ep-0.000_dl-0_ap-0.00
2,24.022055,0.39843,0.0,0.0,0.0,0.534,0.494,0.464,0.518,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-24.0220550_acc-0.39843_epoch-2_ep-0.000_dl-0_ap-0.00
2,21.3244358,0.44004,0.0,0.0,0.0,0.534,0.492,0.464,0.514,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-21.3244358_acc-0.44004_epoch-2_ep-0.000_dl-0_ap-0.00
2,18.9382149,0.46098,0.0,0.0,0.0,0.53,0.492,0.464,0.52,1000,model/nodp/20210511/201529/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-18.9382149_acc-0.46098_epoch-2_ep-0.000_dl-0_ap-0.00
