epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50400.7554676,1e-05,0.0,0.0,0.0,0.508,0.504,0.462,0.484,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-50400.7554676_acc-0.00001_epoch-0_ep-0.000_dl-0_ap-0.00
1,2909.5816102,0.03721,0.0,0.0,0.0,0.506,0.49,0.464,0.49,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-2909.5816102_acc-0.03721_epoch-1_ep-0.000_dl-0_ap-0.00
1,1355.4265098,0.03721,0.0,0.0,0.0,0.51,0.494,0.462,0.492,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-1355.4265098_acc-0.03721_epoch-1_ep-0.000_dl-0_ap-0.00
1,620.6246479,0.03894,0.0,0.0,0.0,0.5,0.5,0.462,0.504,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-620.6246479_acc-0.03894_epoch-1_ep-0.000_dl-0_ap-0.00
1,278.8587382,0.13415,0.0,0.0,0.0,0.518,0.472,0.46,0.506,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-278.8587382_acc-0.13415_epoch-1_ep-0.000_dl-0_ap-0.00
1,150.9904729,0.17478,0.0,0.0,0.0,0.522,0.51,0.462,0.522,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-150.9904729_acc-0.17478_epoch-1_ep-0.000_dl-0_ap-0.00
1,74.8401011,0.25524,0.0,0.0,0.0,0.51,0.496,0.462,0.506,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-74.8401011_acc-0.25524_epoch-1_ep-0.000_dl-0_ap-0.00
1,48.6435662,0.36668,0.0,0.0,0.0,0.518,0.486,0.462,0.512,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-48.6435662_acc-0.36668_epoch-1_ep-0.000_dl-0_ap-0.00
1,21.9685745,0.49478,0.0,0.0,0.0,0.534,0.488,0.462,0.51,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-21.9685745_acc-0.49478_epoch-1_ep-0.000_dl-0_ap-0.00
1,14.4137553,0.58696,0.0,0.0,0.0,0.52,0.496,0.462,0.52,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-14.4137553_acc-0.58696_epoch-1_ep-0.000_dl-0_ap-0.00
1,10.535577,0.67748,0.0,0.0,0.0,0.516,0.502,0.46,0.514,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-10.5355770_acc-0.67748_epoch-1_ep-0.000_dl-0_ap-0.00
1,8.0320558,0.69247,0.0,0.0,0.0,0.526,0.492,0.46,0.52,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-8.0320558_acc-0.69247_epoch-1_ep-0.000_dl-0_ap-0.00
1,6.7131464,0.72202,0.0,0.0,0.0,0.534,0.494,0.46,0.53,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-6.7131464_acc-0.72202_epoch-1_ep-0.000_dl-0_ap-0.00
1,6.2741373,0.72138,0.0,0.0,0.0,0.522,0.488,0.46,0.522,1000,model/nodp/20210503/220400/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-32_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-6.2741373_acc-0.72138_epoch-1_ep-0.000_dl-0_ap-0.00
