epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50683.9781453,0.0,0.0,0.0,0.0,0.5133333333333333,0.52,0.46,0.48,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-50683.9781453_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,288.7005282,0.0888,0.0,0.0,0.0,0.5333333333333333,0.54,0.46,0.5333333333333333,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-288.7005282_acc-0.08880_epoch-1_ep-0.000_dl-0_ap-0.00
1,201.0025457,0.0888,0.0,0.0,0.0,0.54,0.52,0.46,0.54,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-201.0025457_acc-0.08880_epoch-1_ep-0.000_dl-0_ap-0.00
1,157.68738,0.10154,0.0,0.0,0.0,0.5333333333333333,0.5133333333333333,0.46,0.5266666666666666,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-157.6873800_acc-0.10154_epoch-1_ep-0.000_dl-0_ap-0.00
1,126.6320481,0.14071,0.0,0.0,0.0,0.5533333333333333,0.5133333333333333,0.46,0.5333333333333333,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-126.6320481_acc-0.14071_epoch-1_ep-0.000_dl-0_ap-0.00
1,106.8418909,0.14371,0.0,0.0,0.0,0.5533333333333333,0.4866666666666667,0.4533333333333333,0.54,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-106.8418909_acc-0.14371_epoch-1_ep-0.000_dl-0_ap-0.00
1,92.2002701,0.1386,0.0,0.0,0.0,0.5466666666666666,0.49333333333333335,0.4533333333333333,0.54,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-92.2002701_acc-0.13860_epoch-1_ep-0.000_dl-0_ap-0.00
1,88.7640046,0.16112,0.0,0.0,0.0,0.5466666666666666,0.4866666666666667,0.4533333333333333,0.54,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-88.7640046_acc-0.16112_epoch-1_ep-0.000_dl-0_ap-0.00
1,78.6477257,0.1895,0.0,0.0,0.0,0.5333333333333333,0.4866666666666667,0.4533333333333333,0.54,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-78.6477257_acc-0.18950_epoch-1_ep-0.000_dl-0_ap-0.00
1,74.9321742,0.19574,0.0,0.0,0.0,0.54,0.4666666666666667,0.4533333333333333,0.5333333333333333,300,model/nodp/20210511/201538/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-4_bptt-35_lr-0.5_dp-False_partial-False_0hidden-False.pt_ppl-74.9321742_acc-0.19574_epoch-1_ep-0.000_dl-0_ap-0.00
