epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50400.7331311,1e-05,0.152,8e-05,63.0,0.49,0.508,0.524,0.488,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-50400.7331311_acc-0.00001_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,766.4657443,0.07909,1.387,8e-05,8.0,0.488,0.498,0.524,0.492,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-766.4657443_acc-0.07909_epoch-1_ep-1.387_dl-8e-05_ap-8.00
1,512.9663537,0.07909,1.408,8e-05,7.9,0.492,0.496,0.524,0.484,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-512.9663537_acc-0.07909_epoch-1_ep-1.408_dl-8e-05_ap-7.90
1,489.1228825,0.07909,1.421,8e-05,7.8,0.496,0.482,0.518,0.502,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-489.1228825_acc-0.07909_epoch-1_ep-1.421_dl-8e-05_ap-7.80
1,478.9182553,0.07909,1.432,8e-05,7.8,0.488,0.488,0.522,0.498,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-478.9182553_acc-0.07909_epoch-1_ep-1.432_dl-8e-05_ap-7.80
1,472.5314516,0.07909,1.441,8e-05,7.7,0.492,0.488,0.52,0.496,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-472.5314516_acc-0.07909_epoch-1_ep-1.441_dl-8e-05_ap-7.70
1,468.0091929,0.07909,1.447,8e-05,7.7,0.49,0.49,0.52,0.494,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-468.0091929_acc-0.07909_epoch-1_ep-1.447_dl-8e-05_ap-7.70
1,461.3959638,0.07909,1.454,8e-05,7.7,0.49,0.486,0.52,0.492,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-461.3959638_acc-0.07909_epoch-1_ep-1.454_dl-8e-05_ap-7.70
1,467.7511992,0.10728,1.461,8e-05,7.7,0.49,0.484,0.52,0.49,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-467.7511992_acc-0.10728_epoch-1_ep-1.461_dl-8e-05_ap-7.70
1,463.6748593,0.06935,1.467,8e-05,7.6,0.488,0.482,0.522,0.492,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-463.6748593_acc-0.06935_epoch-1_ep-1.467_dl-8e-05_ap-7.60
1,442.4796214,0.10728,1.471,8e-05,7.6,0.49,0.484,0.524,0.492,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-442.4796214_acc-0.10728_epoch-1_ep-1.471_dl-8e-05_ap-7.60
1,424.5143872,0.10732,1.475,8e-05,7.6,0.492,0.48,0.524,0.492,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-424.5143872_acc-0.10732_epoch-1_ep-1.475_dl-8e-05_ap-7.60
1,418.5387033,0.10728,1.48,8e-05,7.6,0.492,0.48,0.524,0.494,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-418.5387033_acc-0.10728_epoch-1_ep-1.480_dl-8e-05_ap-7.60
1,395.3945818,0.14901,1.484,8e-05,7.6,0.492,0.478,0.526,0.492,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-395.3945818_acc-0.14901_epoch-1_ep-1.484_dl-8e-05_ap-7.60
1,373.8627858,0.13749,1.488,8e-05,7.6,0.49,0.478,0.526,0.49,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-373.8627858_acc-0.13749_epoch-1_ep-1.488_dl-8e-05_ap-7.60
1,349.1504673,0.14417,1.492,8e-05,7.6,0.49,0.478,0.526,0.492,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-349.1504673_acc-0.14417_epoch-1_ep-1.492_dl-8e-05_ap-7.60
1,326.4636687,0.14842,1.496,8e-05,7.6,0.49,0.482,0.526,0.494,1000,model/partialdp/20210503/230732/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-326.4636687_acc-0.14842_epoch-1_ep-1.496_dl-8e-05_ap-7.60
