epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50302.336563,0.0,0.152,8e-05,63.0,0.4866666666666667,0.48,0.4666666666666667,0.48,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-50302.3365630_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,773.7567232,0.07909,1.388,8e-05,8.0,0.44666666666666666,0.5,0.46,0.4666666666666667,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-773.7567232_acc-0.07909_epoch-1_ep-1.388_dl-8e-05_ap-8.00
1,517.847992,0.07909,1.409,8e-05,7.9,0.46,0.47333333333333333,0.46,0.48,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-517.8479920_acc-0.07909_epoch-1_ep-1.409_dl-8e-05_ap-7.90
1,489.7020673,0.07909,1.421,8e-05,7.8,0.46,0.48,0.46,0.48,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-489.7020673_acc-0.07909_epoch-1_ep-1.421_dl-8e-05_ap-7.80
1,471.9379236,0.07909,1.432,8e-05,7.8,0.4666666666666667,0.48,0.4533333333333333,0.47333333333333333,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-471.9379236_acc-0.07909_epoch-1_ep-1.432_dl-8e-05_ap-7.80
1,461.8956522,0.07909,1.441,8e-05,7.7,0.4666666666666667,0.47333333333333333,0.46,0.47333333333333333,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-461.8956522_acc-0.07909_epoch-1_ep-1.441_dl-8e-05_ap-7.70
1,458.8078227,0.07909,1.448,8e-05,7.7,0.46,0.49333333333333335,0.46,0.4666666666666667,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-458.8078227_acc-0.07909_epoch-1_ep-1.448_dl-8e-05_ap-7.70
1,459.1012425,0.07909,1.454,8e-05,7.7,0.46,0.47333333333333333,0.46,0.47333333333333333,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-459.1012425_acc-0.07909_epoch-1_ep-1.454_dl-8e-05_ap-7.70
1,455.6545461,0.10728,1.461,8e-05,7.7,0.46,0.48,0.46,0.4533333333333333,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-455.6545461_acc-0.10728_epoch-1_ep-1.461_dl-8e-05_ap-7.70
1,446.6965657,0.10728,1.467,8e-05,7.6,0.47333333333333333,0.47333333333333333,0.46,0.4666666666666667,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-446.6965657_acc-0.10728_epoch-1_ep-1.467_dl-8e-05_ap-7.60
1,429.5862204,0.09758,1.471,8e-05,7.6,0.48,0.47333333333333333,0.46,0.47333333333333333,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-429.5862204_acc-0.09758_epoch-1_ep-1.471_dl-8e-05_ap-7.60
1,407.44508,0.11699,1.475,8e-05,7.6,0.48,0.47333333333333333,0.46,0.47333333333333333,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-407.4450800_acc-0.11699_epoch-1_ep-1.475_dl-8e-05_ap-7.60
1,380.0946185,0.15035,1.48,8e-05,7.6,0.48,0.46,0.46,0.4666666666666667,300,model/partialdp/20210503/230952/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-380.0946185_acc-0.15035_epoch-1_ep-1.480_dl-8e-05_ap-7.60
