epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7281136,0.0,0.152,8e-05,63.0,0.53,0.51,0.516,0.558,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-50434.7281136_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,1183.712674,0.19429,2.851,8e-05,4.5,0.358,0.494,0.506,0.352,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1183.7126740_acc-0.19429_epoch-1_ep-2.851_dl-8e-05_ap-4.50
2,1907.2727515,0.22286,2.954,8e-05,4.4,0.358,0.488,0.508,0.356,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1907.2727515_acc-0.22286_epoch-2_ep-2.954_dl-8e-05_ap-4.40
3,1656.3211681,0.21714,3.027,8e-05,4.3,0.354,0.476,0.508,0.352,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1656.3211681_acc-0.21714_epoch-3_ep-3.027_dl-8e-05_ap-4.30
4,1587.7871054,0.22286,3.083,8e-05,4.3,0.356,0.486,0.506,0.352,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1587.7871054_acc-0.22286_epoch-4_ep-3.083_dl-8e-05_ap-4.30
5,1568.7477784,0.21714,3.138,8e-05,4.2,0.358,0.482,0.506,0.352,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1568.7477784_acc-0.21714_epoch-5_ep-3.138_dl-8e-05_ap-4.20
6,1564.0166027,0.21714,3.176,8e-05,4.2,0.356,0.482,0.506,0.352,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1564.0166027_acc-0.21714_epoch-6_ep-3.176_dl-8e-05_ap-4.20
7,1562.8512411,0.21714,3.213,8e-05,4.2,0.356,0.482,0.506,0.352,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1562.8512411_acc-0.21714_epoch-7_ep-3.213_dl-8e-05_ap-4.20
8,1562.5519923,0.21714,3.251,8e-05,4.2,0.356,0.482,0.506,0.352,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1562.5519923_acc-0.21714_epoch-8_ep-3.251_dl-8e-05_ap-4.20
9,1562.4774612,0.21714,3.289,8e-05,4.2,0.356,0.482,0.506,0.352,1000,model/dp/20210423/224945/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.5_dl-8e-05.pt_ppl-1562.4774612_acc-0.21714_epoch-9_ep-3.289_dl-8e-05_ap-4.20
