epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,0.54,0.544,0.552,0.55,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,2078.8234874,0.06286,2.851,8e-05,4.5,0.378,0.48,0.54,0.374,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-2078.8234874_acc-0.06286_epoch-1_ep-2.851_dl-8e-05_ap-4.50
2,1694.1986344,0.06286,2.954,8e-05,4.4,0.372,0.478,0.538,0.37,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-1694.1986344_acc-0.06286_epoch-2_ep-2.954_dl-8e-05_ap-4.40
3,1490.6042772,0.06286,3.027,8e-05,4.3,0.366,0.476,0.536,0.36,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-1490.6042772_acc-0.06286_epoch-3_ep-3.027_dl-8e-05_ap-4.30
4,1290.9769986,0.09714,3.083,8e-05,4.3,0.358,0.472,0.536,0.358,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-1290.9769986_acc-0.09714_epoch-4_ep-3.083_dl-8e-05_ap-4.30
5,1006.2221675,0.11429,3.138,8e-05,4.2,0.356,0.468,0.534,0.354,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-1006.2221675_acc-0.11429_epoch-5_ep-3.138_dl-8e-05_ap-4.20
6,871.10768,0.15429,3.176,8e-05,4.2,0.35,0.466,0.534,0.35,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-871.1076800_acc-0.15429_epoch-6_ep-3.176_dl-8e-05_ap-4.20
7,781.9478438,0.17714,3.213,8e-05,4.2,0.346,0.462,0.534,0.348,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-781.9478438_acc-0.17714_epoch-7_ep-3.213_dl-8e-05_ap-4.20
8,712.9068096,0.20571,3.251,8e-05,4.2,0.35,0.468,0.534,0.35,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-712.9068096_acc-0.20571_epoch-8_ep-3.251_dl-8e-05_ap-4.20
9,657.9160602,0.21143,3.289,8e-05,4.2,0.356,0.466,0.534,0.35,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-657.9160602_acc-0.21143_epoch-9_ep-3.289_dl-8e-05_ap-4.20
10,621.1050952,0.22286,3.32,8e-05,4.1,0.36,0.472,0.534,0.358,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-621.1050952_acc-0.22286_epoch-10_ep-3.320_dl-8e-05_ap-4.10
11,592.351465,0.22857,3.348,8e-05,4.1,0.36,0.474,0.536,0.36,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-592.3514650_acc-0.22857_epoch-11_ep-3.348_dl-8e-05_ap-4.10
12,569.6320016,0.22857,3.376,8e-05,4.1,0.358,0.478,0.534,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-569.6320016_acc-0.22857_epoch-12_ep-3.376_dl-8e-05_ap-4.10
13,548.0639921,0.22857,3.404,8e-05,4.1,0.358,0.476,0.534,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-548.0639921_acc-0.22857_epoch-13_ep-3.404_dl-8e-05_ap-4.10
14,532.2861154,0.23429,3.431,8e-05,4.1,0.36,0.47,0.532,0.356,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-532.2861154_acc-0.23429_epoch-14_ep-3.431_dl-8e-05_ap-4.10
15,517.7369317,0.24,3.459,8e-05,4.1,0.36,0.468,0.534,0.358,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-517.7369317_acc-0.24000_epoch-15_ep-3.459_dl-8e-05_ap-4.10
16,505.6027649,0.25143,3.487,8e-05,4.1,0.364,0.474,0.536,0.36,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-505.6027649_acc-0.25143_epoch-16_ep-3.487_dl-8e-05_ap-4.10
17,496.4999846,0.25714,3.514,8e-05,4.0,0.358,0.474,0.536,0.356,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-496.4999846_acc-0.25714_epoch-17_ep-3.514_dl-8e-05_ap-4.00
18,488.9955566,0.24,3.536,8e-05,4.0,0.364,0.474,0.534,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-488.9955566_acc-0.24000_epoch-18_ep-3.536_dl-8e-05_ap-4.00
19,482.4518369,0.25143,3.558,8e-05,4.0,0.364,0.472,0.536,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-482.4518369_acc-0.25143_epoch-19_ep-3.558_dl-8e-05_ap-4.00
20,474.5045923,0.26857,3.579,8e-05,4.0,0.366,0.482,0.536,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-474.5045923_acc-0.26857_epoch-20_ep-3.579_dl-8e-05_ap-4.00
21,469.0020649,0.26857,3.601,8e-05,4.0,0.36,0.474,0.536,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-469.0020649_acc-0.26857_epoch-21_ep-3.601_dl-8e-05_ap-4.00
22,461.9552707,0.26286,3.623,8e-05,4.0,0.364,0.482,0.536,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-461.9552707_acc-0.26286_epoch-22_ep-3.623_dl-8e-05_ap-4.00
23,456.4795783,0.26857,3.645,8e-05,4.0,0.364,0.476,0.536,0.366,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-456.4795783_acc-0.26857_epoch-23_ep-3.645_dl-8e-05_ap-4.00
24,450.9296765,0.26286,3.666,8e-05,4.0,0.366,0.474,0.536,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-450.9296765_acc-0.26286_epoch-24_ep-3.666_dl-8e-05_ap-4.00
25,446.9888902,0.25143,3.688,8e-05,4.0,0.364,0.476,0.536,0.366,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-446.9888902_acc-0.25143_epoch-25_ep-3.688_dl-8e-05_ap-4.00
26,443.4573608,0.25714,3.71,8e-05,4.0,0.366,0.478,0.536,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-443.4573608_acc-0.25714_epoch-26_ep-3.710_dl-8e-05_ap-4.00
27,439.3668116,0.26286,3.732,8e-05,4.0,0.368,0.478,0.536,0.366,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-439.3668116_acc-0.26286_epoch-27_ep-3.732_dl-8e-05_ap-4.00
28,434.3793515,0.26857,3.753,8e-05,4.0,0.368,0.478,0.536,0.366,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-434.3793515_acc-0.26857_epoch-28_ep-3.753_dl-8e-05_ap-4.00
29,430.1106872,0.26286,3.775,8e-05,4.0,0.364,0.482,0.536,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-430.1106872_acc-0.26286_epoch-29_ep-3.775_dl-8e-05_ap-4.00
30,426.6702025,0.26857,3.794,8e-05,3.9,0.362,0.47,0.536,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-426.6702025_acc-0.26857_epoch-30_ep-3.794_dl-8e-05_ap-3.90
31,422.3248377,0.26286,3.812,8e-05,3.9,0.36,0.47,0.536,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-422.3248377_acc-0.26286_epoch-31_ep-3.812_dl-8e-05_ap-3.90
32,419.2173496,0.25714,3.83,8e-05,3.9,0.356,0.47,0.534,0.356,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-419.2173496_acc-0.25714_epoch-32_ep-3.830_dl-8e-05_ap-3.90
33,416.9913665,0.24571,3.848,8e-05,3.9,0.36,0.474,0.534,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-416.9913665_acc-0.24571_epoch-33_ep-3.848_dl-8e-05_ap-3.90
34,413.7819341,0.26857,3.866,8e-05,3.9,0.366,0.472,0.536,0.368,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-413.7819341_acc-0.26857_epoch-34_ep-3.866_dl-8e-05_ap-3.90
35,410.7621522,0.25714,3.884,8e-05,3.9,0.366,0.47,0.536,0.368,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-410.7621522_acc-0.25714_epoch-35_ep-3.884_dl-8e-05_ap-3.90
36,407.849253,0.26286,3.902,8e-05,3.9,0.362,0.468,0.538,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-407.8492530_acc-0.26286_epoch-36_ep-3.902_dl-8e-05_ap-3.90
37,405.2460393,0.27429,3.92,8e-05,3.9,0.36,0.47,0.538,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-405.2460393_acc-0.27429_epoch-37_ep-3.920_dl-8e-05_ap-3.90
38,403.8462052,0.27429,3.938,8e-05,3.9,0.364,0.47,0.538,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-403.8462052_acc-0.27429_epoch-38_ep-3.938_dl-8e-05_ap-3.90
39,401.8951275,0.27429,3.956,8e-05,3.9,0.364,0.472,0.538,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-401.8951275_acc-0.27429_epoch-39_ep-3.956_dl-8e-05_ap-3.90
40,400.4295278,0.26857,3.974,8e-05,3.9,0.368,0.472,0.534,0.37,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-400.4295278_acc-0.26857_epoch-40_ep-3.974_dl-8e-05_ap-3.90
41,399.4757499,0.26857,3.992,8e-05,3.9,0.362,0.478,0.536,0.366,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-399.4757499_acc-0.26857_epoch-41_ep-3.992_dl-8e-05_ap-3.90
42,397.5734563,0.27429,4.01,8e-05,3.9,0.362,0.476,0.536,0.364,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-397.5734563_acc-0.27429_epoch-42_ep-4.010_dl-8e-05_ap-3.90
43,395.415367,0.26857,4.028,8e-05,3.9,0.364,0.476,0.536,0.368,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-395.4153670_acc-0.26857_epoch-43_ep-4.028_dl-8e-05_ap-3.90
44,394.5703632,0.26286,4.046,8e-05,3.9,0.366,0.474,0.536,0.366,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-394.5703632_acc-0.26286_epoch-44_ep-4.046_dl-8e-05_ap-3.90
45,393.322178,0.25714,4.064,8e-05,3.9,0.364,0.476,0.54,0.366,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-393.3221780_acc-0.25714_epoch-45_ep-4.064_dl-8e-05_ap-3.90
46,392.1459583,0.25714,4.082,8e-05,3.9,0.364,0.48,0.54,0.362,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-392.1459583_acc-0.25714_epoch-46_ep-4.082_dl-8e-05_ap-3.90
47,389.9319161,0.26286,4.1,8e-05,3.9,0.36,0.478,0.54,0.36,1000,model/dp/20210425/151315/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-389.9319161_acc-0.26286_epoch-47_ep-4.100_dl-8e-05_ap-3.90
