epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49839.0328554,0.0,0.0,0.0,0.0,0.446,0.488,0.514,0.552,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-49839.0328554_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,488.215661,0.24583,0.0,0.0,0.0,0.34,0.488,0.504,0.34,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-488.2156610_acc-0.24583_epoch-1_ep-0.000_dl-0_ap-0.00
1,323.6929709,0.26458,0.0,0.0,0.0,0.35,0.5,0.502,0.35,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-323.6929709_acc-0.26458_epoch-1_ep-0.000_dl-0_ap-0.00
1,302.2729868,0.24792,0.0,0.0,0.0,0.362,0.506,0.508,0.362,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-302.2729868_acc-0.24792_epoch-1_ep-0.000_dl-0_ap-0.00
1,245.769631,0.30417,0.0,0.0,0.0,0.36,0.496,0.504,0.364,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-245.7696310_acc-0.30417_epoch-1_ep-0.000_dl-0_ap-0.00
1,200.9701241,0.31458,0.0,0.0,0.0,0.372,0.496,0.506,0.368,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-200.9701241_acc-0.31458_epoch-1_ep-0.000_dl-0_ap-0.00
1,203.890355,0.275,0.0,0.0,0.0,0.382,0.504,0.506,0.384,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-203.8903550_acc-0.27500_epoch-1_ep-0.000_dl-0_ap-0.00
1,174.3671169,0.33333,0.0,0.0,0.0,0.378,0.512,0.504,0.38,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-174.3671169_acc-0.33333_epoch-1_ep-0.000_dl-0_ap-0.00
1,177.0203138,0.29583,0.0,0.0,0.0,0.392,0.502,0.51,0.392,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-177.0203138_acc-0.29583_epoch-1_ep-0.000_dl-0_ap-0.00
1,162.96506,0.31667,0.0,0.0,0.0,0.386,0.516,0.508,0.384,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-162.9650600_acc-0.31667_epoch-1_ep-0.000_dl-0_ap-0.00
1,152.6305564,0.3375,0.0,0.0,0.0,0.398,0.514,0.508,0.4,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-152.6305564_acc-0.33750_epoch-1_ep-0.000_dl-0_ap-0.00
1,151.1445727,0.33542,0.0,0.0,0.0,0.398,0.528,0.51,0.398,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-151.1445727_acc-0.33542_epoch-1_ep-0.000_dl-0_ap-0.00
1,143.4321442,0.325,0.0,0.0,0.0,0.416,0.526,0.512,0.418,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-143.4321442_acc-0.32500_epoch-1_ep-0.000_dl-0_ap-0.00
1,142.5931229,0.34583,0.0,0.0,0.0,0.404,0.53,0.51,0.408,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-142.5931229_acc-0.34583_epoch-1_ep-0.000_dl-0_ap-0.00
1,150.2638529,0.325,0.0,0.0,0.0,0.414,0.532,0.514,0.418,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-150.2638529_acc-0.32500_epoch-1_ep-0.000_dl-0_ap-0.00
1,132.3198319,0.33542,0.0,0.0,0.0,0.416,0.528,0.512,0.416,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-132.3198319_acc-0.33542_epoch-1_ep-0.000_dl-0_ap-0.00
1,129.1904153,0.33125,0.0,0.0,0.0,0.42,0.534,0.514,0.424,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-129.1904153_acc-0.33125_epoch-1_ep-0.000_dl-0_ap-0.00
1,133.1216765,0.32083,0.0,0.0,0.0,0.42,0.532,0.514,0.42,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-133.1216765_acc-0.32083_epoch-1_ep-0.000_dl-0_ap-0.00
1,125.5346478,0.34792,0.0,0.0,0.0,0.424,0.532,0.51,0.424,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-125.5346478_acc-0.34792_epoch-1_ep-0.000_dl-0_ap-0.00
1,126.2929068,0.31667,0.0,0.0,0.0,0.426,0.532,0.514,0.424,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-126.2929068_acc-0.31667_epoch-1_ep-0.000_dl-0_ap-0.00
1,120.7378612,0.32917,0.0,0.0,0.0,0.432,0.532,0.514,0.436,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-120.7378612_acc-0.32917_epoch-1_ep-0.000_dl-0_ap-0.00
1,117.4130254,0.325,0.0,0.0,0.0,0.428,0.538,0.514,0.43,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-117.4130254_acc-0.32500_epoch-1_ep-0.000_dl-0_ap-0.00
1,124.0552458,0.32917,0.0,0.0,0.0,0.446,0.544,0.514,0.444,1000,model/nodp/20210419/052248/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-124.0552458_acc-0.32917_epoch-1_ep-0.000_dl-0_ap-0.00
