epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49790.630093,0.0,0.0,0.0,0.0,0.552,0.606,0.504,0.526,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-49790.6300930_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,489.7855789,0.23542,0.0,0.0,0.0,0.64,0.804,0.514,0.642,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-489.7855789_acc-0.23542_epoch-1_ep-0.000_dl-0_ap-0.00
1,414.8162911,0.24792,0.0,0.0,0.0,0.692,0.834,0.526,0.694,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-414.8162911_acc-0.24792_epoch-1_ep-0.000_dl-0_ap-0.00
1,243.8414591,0.30208,0.0,0.0,0.0,0.714,0.848,0.526,0.714,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-243.8414591_acc-0.30208_epoch-1_ep-0.000_dl-0_ap-0.00
1,222.0321503,0.3,0.0,0.0,0.0,0.732,0.856,0.526,0.736,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-222.0321503_acc-0.30000_epoch-1_ep-0.000_dl-0_ap-0.00
1,210.9339833,0.30208,0.0,0.0,0.0,0.74,0.864,0.524,0.74,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-210.9339833_acc-0.30208_epoch-1_ep-0.000_dl-0_ap-0.00
1,195.4455673,0.32292,0.0,0.0,0.0,0.736,0.856,0.526,0.738,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-195.4455673_acc-0.32292_epoch-1_ep-0.000_dl-0_ap-0.00
1,180.2992722,0.3,0.0,0.0,0.0,0.756,0.87,0.532,0.756,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-180.2992722_acc-0.30000_epoch-1_ep-0.000_dl-0_ap-0.00
1,168.5778933,0.33958,0.0,0.0,0.0,0.748,0.87,0.534,0.746,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-168.5778933_acc-0.33958_epoch-1_ep-0.000_dl-0_ap-0.00
1,162.2721068,0.33542,0.0,0.0,0.0,0.752,0.87,0.536,0.75,1000,model/nodp/20210418/210231/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-162.2721068_acc-0.33542_epoch-1_ep-0.000_dl-0_ap-0.00
