epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49589.3975841,0.0,0.0,0.0,0.0,0.51,0.0,0.352,0.444,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-49589.3975841_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,507.0668187,0.21042,0.0,0.0,0.0,0.596,0.0,0.328,0.588,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-507.0668187_acc-0.21042_epoch-1_ep-0.000_dl-0_ap-0.00
1,365.4550775,0.25833,0.0,0.0,0.0,0.618,0.0,0.338,0.602,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-365.4550775_acc-0.25833_epoch-1_ep-0.000_dl-0_ap-0.00
1,253.2522977,0.28333,0.0,0.0,0.0,0.604,0.0,0.35,0.604,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-253.2522977_acc-0.28333_epoch-1_ep-0.000_dl-0_ap-0.00
1,226.0952118,0.30208,0.0,0.0,0.0,0.72,0.0,0.43,0.72,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-226.0952118_acc-0.30208_epoch-1_ep-0.000_dl-0_ap-0.00
1,223.7687363,0.32292,0.0,0.0,0.0,0.73,0.0,0.436,0.73,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-223.7687363_acc-0.32292_epoch-1_ep-0.000_dl-0_ap-0.00
1,213.0538861,0.28958,0.0,0.0,0.0,0.786,0.0,0.5,0.786,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-213.0538861_acc-0.28958_epoch-1_ep-0.000_dl-0_ap-0.00
1,177.2233817,0.33125,0.0,0.0,0.0,0.824,0.0,0.55,0.826,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-177.2233817_acc-0.33125_epoch-1_ep-0.000_dl-0_ap-0.00
1,187.7796609,0.28958,0.0,0.0,0.0,0.836,0.0,0.578,0.84,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-187.7796609_acc-0.28958_epoch-1_ep-0.000_dl-0_ap-0.00
1,161.9743727,0.31875,0.0,0.0,0.0,0.848,0.0,0.632,0.852,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-161.9743727_acc-0.31875_epoch-1_ep-0.000_dl-0_ap-0.00
1,155.2660077,0.32917,0.0,0.0,0.0,0.866,0.0,0.676,0.866,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-155.2660077_acc-0.32917_epoch-1_ep-0.000_dl-0_ap-0.00
1,152.1031421,0.31875,0.0,0.0,0.0,0.878,0.0,0.698,0.878,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-152.1031421_acc-0.31875_epoch-1_ep-0.000_dl-0_ap-0.00
1,144.8910338,0.33958,0.0,0.0,0.0,0.876,0.0,0.708,0.874,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-144.8910338_acc-0.33958_epoch-1_ep-0.000_dl-0_ap-0.00
1,149.3001258,0.34167,0.0,0.0,0.0,0.882,0.0,0.714,0.88,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-149.3001258_acc-0.34167_epoch-1_ep-0.000_dl-0_ap-0.00
1,137.3020444,0.34375,0.0,0.0,0.0,0.878,0.0,0.734,0.878,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-137.3020444_acc-0.34375_epoch-1_ep-0.000_dl-0_ap-0.00
1,135.4843102,0.32292,0.0,0.0,0.0,0.894,0.0,0.742,0.892,1000,model/nodp/20210417/144949/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-135.4843102_acc-0.32292_epoch-1_ep-0.000_dl-0_ap-0.00
