epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50536.2049074,0.0,0.0,0.0,0.0,0.504,0.496,0.564,0.536,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-50536.2049074_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,446.0257201,0.27292,0.0,0.0,0.0,0.324,0.502,0.552,0.324,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-446.0257201_acc-0.27292_epoch-1_ep-0.000_dl-0_ap-0.00
1,337.7831802,0.28333,0.0,0.0,0.0,0.338,0.516,0.55,0.328,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-337.7831802_acc-0.28333_epoch-1_ep-0.000_dl-0_ap-0.00
1,260.2765061,0.31042,0.0,0.0,0.0,0.336,0.52,0.552,0.322,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-260.2765061_acc-0.31042_epoch-1_ep-0.000_dl-0_ap-0.00
1,230.044622,0.31875,0.0,0.0,0.0,0.346,0.53,0.55,0.328,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-230.0446220_acc-0.31875_epoch-1_ep-0.000_dl-0_ap-0.00
1,204.1335094,0.29792,0.0,0.0,0.0,0.34,0.542,0.552,0.332,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-204.1335094_acc-0.29792_epoch-1_ep-0.000_dl-0_ap-0.00
1,189.7026553,0.31458,0.0,0.0,0.0,0.346,0.544,0.554,0.332,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-189.7026553_acc-0.31458_epoch-1_ep-0.000_dl-0_ap-0.00
1,191.9912028,0.29583,0.0,0.0,0.0,0.346,0.54,0.552,0.34,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-191.9912028_acc-0.29583_epoch-1_ep-0.000_dl-0_ap-0.00
1,165.3146471,0.33333,0.0,0.0,0.0,0.354,0.544,0.554,0.346,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-165.3146471_acc-0.33333_epoch-1_ep-0.000_dl-0_ap-0.00
1,185.3742884,0.33333,0.0,0.0,0.0,0.36,0.54,0.558,0.352,1000,model/nodp/20210418/192226/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-185.3742884_acc-0.33333_epoch-1_ep-0.000_dl-0_ap-0.00
