epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49589.3975841,0.0,0.0,0.0,0.0,0.438,0.494,0.514,0.538,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-49589.3975841_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,478.2948346,0.24375,0.0,0.0,0.0,0.362,0.488,0.502,0.364,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-478.2948346_acc-0.24375_epoch-1_ep-0.000_dl-0_ap-0.00
1,351.5149926,0.27083,0.0,0.0,0.0,0.364,0.5,0.504,0.37,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-351.5149926_acc-0.27083_epoch-1_ep-0.000_dl-0_ap-0.00
1,334.0092212,0.24583,0.0,0.0,0.0,0.374,0.504,0.506,0.372,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-334.0092212_acc-0.24583_epoch-1_ep-0.000_dl-0_ap-0.00
1,274.8229791,0.24792,0.0,0.0,0.0,0.368,0.506,0.504,0.374,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-274.8229791_acc-0.24792_epoch-1_ep-0.000_dl-0_ap-0.00
1,242.4801652,0.30417,0.0,0.0,0.0,0.378,0.504,0.504,0.38,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-242.4801652_acc-0.30417_epoch-1_ep-0.000_dl-0_ap-0.00
1,243.196608,0.275,0.0,0.0,0.0,0.374,0.504,0.506,0.374,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-243.1966080_acc-0.27500_epoch-1_ep-0.000_dl-0_ap-0.00
1,218.6218329,0.29583,0.0,0.0,0.0,0.386,0.504,0.504,0.388,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-218.6218329_acc-0.29583_epoch-1_ep-0.000_dl-0_ap-0.00
1,224.3516975,0.29167,0.0,0.0,0.0,0.398,0.51,0.508,0.4,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-224.3516975_acc-0.29167_epoch-1_ep-0.000_dl-0_ap-0.00
1,211.9910034,0.29167,0.0,0.0,0.0,0.396,0.512,0.5,0.39,1000,model/nodp/20210426/234125/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-211.9910034_acc-0.29167_epoch-1_ep-0.000_dl-0_ap-0.00
