epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.6320767,0.0,0.0,0.0,0.0,0.52,0.0,0.35,0.464,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-50434.6320767_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,520.6147516,0.1875,0.0,0.0,0.0,0.548,0.0,0.352,0.52,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-520.6147516_acc-0.18750_epoch-1_ep-0.000_dl-0_ap-0.00
1,397.0914028,0.27708,0.0,0.0,0.0,0.598,0.0,0.356,0.57,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-397.0914028_acc-0.27708_epoch-1_ep-0.000_dl-0_ap-0.00
1,322.8024827,0.275,0.0,0.0,0.0,0.582,0.0,0.352,0.558,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-322.8024827_acc-0.27500_epoch-1_ep-0.000_dl-0_ap-0.00
1,291.9430074,0.26458,0.0,0.0,0.0,0.582,0.0,0.354,0.57,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-291.9430074_acc-0.26458_epoch-1_ep-0.000_dl-0_ap-0.00
1,271.7120916,0.28125,0.0,0.0,0.0,0.598,0.0,0.358,0.578,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-271.7120916_acc-0.28125_epoch-1_ep-0.000_dl-0_ap-0.00
1,252.188445,0.28542,0.0,0.0,0.0,0.598,0.0,0.356,0.586,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-252.1884450_acc-0.28542_epoch-1_ep-0.000_dl-0_ap-0.00
1,236.8667827,0.28125,0.0,0.0,0.0,0.594,0.0,0.356,0.572,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-236.8667827_acc-0.28125_epoch-1_ep-0.000_dl-0_ap-0.00
1,217.2001511,0.28542,0.0,0.0,0.0,0.6,0.0,0.358,0.58,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-217.2001511_acc-0.28542_epoch-1_ep-0.000_dl-0_ap-0.00
1,214.4057125,0.28958,0.0,0.0,0.0,0.612,0.0,0.354,0.586,1000,model/nodp/20210426/182422/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-214.4057125_acc-0.28958_epoch-1_ep-0.000_dl-0_ap-0.00
