epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.6327462,0.0,0.0,0.0,0.0,0.52,0.0,0.35,0.464,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-50434.6327462_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,599.5246006,0.17873,0.0,0.0,0.0,0.528,0.0,0.348,0.486,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-599.5246006_acc-0.17873_epoch-1_ep-0.000_dl-0_ap-0.00
1,423.6806342,0.20701,0.0,0.0,0.0,0.524,0.0,0.352,0.502,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-423.6806342_acc-0.20701_epoch-1_ep-0.000_dl-0_ap-0.00
1,298.304869,0.24613,0.0,0.0,0.0,0.512,0.0,0.358,0.508,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-298.3048690_acc-0.24613_epoch-1_ep-0.000_dl-0_ap-0.00
1,258.78329,0.27195,0.0,0.0,0.0,0.54,0.0,0.352,0.538,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-258.7832900_acc-0.27195_epoch-1_ep-0.000_dl-0_ap-0.00
1,246.9101734,0.2566,0.0,0.0,0.0,0.556,0.0,0.352,0.546,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-246.9101734_acc-0.25660_epoch-1_ep-0.000_dl-0_ap-0.00
1,245.5256312,0.26385,0.0,0.0,0.0,0.564,0.0,0.352,0.548,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-245.5256312_acc-0.26385_epoch-1_ep-0.000_dl-0_ap-0.00
1,229.9257185,0.26522,0.0,0.0,0.0,0.594,0.0,0.354,0.588,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-229.9257185_acc-0.26522_epoch-1_ep-0.000_dl-0_ap-0.00
1,244.0483723,0.25082,0.0,0.0,0.0,0.562,0.0,0.354,0.546,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-244.0483723_acc-0.25082_epoch-1_ep-0.000_dl-0_ap-0.00
1,228.0317044,0.26482,0.0,0.0,0.0,0.574,0.0,0.352,0.556,1000,model/nodp/20210506/234706/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-228.0317044_acc-0.26482_epoch-1_ep-0.000_dl-0_ap-0.00
