epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50536.2041531,0.00025,0.0,0.0,0.0,0.482,0.0,0.352,0.444,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-50536.2041531_acc-0.00025_epoch-0_ep-0.000_dl-0_ap-0.00
1,589.7029447,0.2005,0.0,0.0,0.0,0.484,0.0,0.352,0.448,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-589.7029447_acc-0.20050_epoch-1_ep-0.000_dl-0_ap-0.00
1,389.1275626,0.20289,0.0,0.0,0.0,0.5,0.0,0.352,0.486,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-389.1275626_acc-0.20289_epoch-1_ep-0.000_dl-0_ap-0.00
1,307.4937137,0.23933,0.0,0.0,0.0,0.484,0.0,0.35,0.45,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-307.4937137_acc-0.23933_epoch-1_ep-0.000_dl-0_ap-0.00
1,286.9081485,0.2516,0.0,0.0,0.0,0.476,0.0,0.352,0.454,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-286.9081485_acc-0.25160_epoch-1_ep-0.000_dl-0_ap-0.00
1,250.5452353,0.26852,0.0,0.0,0.0,0.484,0.0,0.352,0.454,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-250.5452353_acc-0.26852_epoch-1_ep-0.000_dl-0_ap-0.00
1,271.1765752,0.22735,0.0,0.0,0.0,0.502,0.0,0.352,0.486,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-271.1765752_acc-0.22735_epoch-1_ep-0.000_dl-0_ap-0.00
1,232.5876146,0.25082,0.0,0.0,0.0,0.5,0.0,0.352,0.478,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-232.5876146_acc-0.25082_epoch-1_ep-0.000_dl-0_ap-0.00
1,210.2865352,0.26999,0.0,0.0,0.0,0.494,0.0,0.352,0.466,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-210.2865352_acc-0.26999_epoch-1_ep-0.000_dl-0_ap-0.00
1,207.9651611,0.27343,0.0,0.0,0.0,0.462,0.0,0.35,0.45,1000,model/nodp/20210515/122210/data-not_missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-207.9651611_acc-0.27343_epoch-1_ep-0.000_dl-0_ap-0.00
