epoch,model_ppl,model_acc,inference_acc,TOTAL_CANDIDATES
0,50434.7282047,0.0,0.56,100
1,2078.1816398,0.06286,0.22,100
2,1695.1551616,0.06286,0.22,100
3,1490.4512709,0.06286,0.24,100
4,1292.0344489,0.09714,0.22,100
5,1007.9209422,0.11429,0.24,100
6,871.2863492,0.14857,0.24,100
7,781.6443322,0.18286,0.24,100
8,712.1233823,0.2,0.24,100
9,657.512999,0.21143,0.26,100
10,620.9710981,0.22286,0.26,100
11,592.7892741,0.22857,0.26,100
12,569.526415,0.22857,0.26,100
13,548.5724137,0.22857,0.24,100
14,532.8611345,0.23429,0.24,100
15,517.9535435,0.23429,0.24,100
16,505.8960238,0.25714,0.24,100
17,497.0278839,0.25714,0.24,100
18,489.4443183,0.24571,0.24,100
19,482.6726228,0.25143,0.24,100
20,474.7684468,0.26857,0.24,100
21,469.3619152,0.26286,0.24,100
22,461.9831974,0.25714,0.24,100
23,456.4591915,0.26857,0.24,100
24,450.6984705,0.26286,0.24,100
25,447.1467378,0.26286,0.24,100
26,443.3087215,0.26286,0.24,100
27,439.438084,0.26286,0.24,100
28,434.599371,0.26286,0.24,100
29,430.2887382,0.26286,0.24,100
30,426.8253288,0.26286,0.24,100
31,422.4478917,0.26286,0.24,100
32,419.3127722,0.26286,0.24,100
33,417.0054236,0.24571,0.24,100
34,413.7750438,0.26857,0.24,100
35,410.689212,0.25714,0.24,100
36,407.8495174,0.26286,0.26,100
37,405.1200462,0.28,0.26,100
38,403.7220424,0.27429,0.26,100
39,401.7589602,0.26857,0.24,100
40,400.2396121,0.26286,0.24,100
41,399.4074585,0.26857,0.26,100
42,397.4137613,0.27429,0.26,100
43,395.4410979,0.26857,0.26,100
44,394.6557537,0.26286,0.26,100
45,393.3106152,0.25714,0.26,100
46,392.0900288,0.25714,0.28,100
47,389.8930029,0.26286,0.26,100
48,388.7412414,0.26286,0.26,100
49,386.9065034,0.26857,0.28,100
50,386.8141878,0.25714,0.26,100
