epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.576,0.516,0.564,0.552,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0
1,2078.1816398,0.06286,0.308,0.498,0.558,0.32,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-2078.1816398_acc-0.06286_epoch-1
2,1695.1551616,0.06286,0.306,0.512,0.554,0.31,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-1695.1551616_acc-0.06286_epoch-2
3,1490.4512709,0.06286,0.302,0.51,0.554,0.32,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-1490.4512709_acc-0.06286_epoch-3
4,1292.0344489,0.09714,0.298,0.504,0.552,0.308,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-1292.0344489_acc-0.09714_epoch-4
5,1007.9209422,0.11429,0.296,0.496,0.55,0.3,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-1007.9209422_acc-0.11429_epoch-5
6,871.2863492,0.14857,0.296,0.496,0.548,0.292,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-871.2863492_acc-0.14857_epoch-6
7,781.6443322,0.18286,0.3,0.498,0.548,0.296,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-781.6443322_acc-0.18286_epoch-7
8,712.1233823,0.2,0.304,0.498,0.55,0.3,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-712.1233823_acc-0.20000_epoch-8
9,657.512999,0.21143,0.306,0.496,0.55,0.296,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-657.5129990_acc-0.21143_epoch-9
10,620.9710981,0.22286,0.31,0.504,0.548,0.302,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-620.9710981_acc-0.22286_epoch-10
11,592.7892741,0.22857,0.31,0.502,0.548,0.3,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-592.7892741_acc-0.22857_epoch-11
12,569.526415,0.22857,0.314,0.508,0.55,0.304,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-569.5264150_acc-0.22857_epoch-12
13,548.5724137,0.22857,0.316,0.514,0.55,0.306,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-548.5724137_acc-0.22857_epoch-13
14,532.8611345,0.23429,0.316,0.512,0.55,0.308,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-532.8611345_acc-0.23429_epoch-14
15,517.9535435,0.23429,0.314,0.508,0.548,0.308,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-517.9535435_acc-0.23429_epoch-15
16,505.8960238,0.25714,0.316,0.502,0.55,0.308,1000,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-505.8960238_acc-0.25714_epoch-16
