epoch,model_ppl,model_acc,inference_acc,TOTAL_CANDIDATES
0,50435.2133319,0.0,0.56,100
1,432.0968589,0.224,0.24,100
2,238.0294657,0.26872,0.3,100
3,180.3299263,0.29176,0.28,100
4,158.9184791,0.29836,0.3,100
5,143.9474273,0.30563,0.34,100
6,134.0641283,0.29943,0.36,100
7,129.3553134,0.30132,0.34,100
8,116.3437421,0.30873,0.4,100
9,115.1057335,0.30226,0.38,100
10,107.3536715,0.31008,0.38,100
11,102.2298124,0.31937,0.4,100
13,92.5736496,0.33338,0.4,100
14,91.6282058,0.33149,0.4,100
15,90.8778121,0.33405,0.42,100
16,90.1945959,0.33567,0.42,100
17,89.6651039,0.33365,0.42,100
18,89.0074908,0.33486,0.42,100
19,88.5150561,0.33378,0.42,100
20,87.6159834,0.33675,0.44,100
21,87.2523729,0.33607,0.44,100
22,86.5388096,0.33809,0.42,100
23,86.093848,0.33648,0.42,100
24,85.6777917,0.33688,0.42,100
25,84.9397497,0.33513,0.42,100
26,84.7780835,0.33742,0.42,100
27,84.1101766,0.3393,0.42,100
28,83.9690188,0.33607,0.42,100
29,83.1283207,0.3389,0.42,100
30,82.7512036,0.34011,0.42,100
31,82.4131824,0.34065,0.42,100
32,82.0603266,0.33796,0.42,100
33,81.5910004,0.33944,0.44,100
34,81.1821681,0.34173,0.44,100
35,81.0146858,0.34038,0.42,100
36,80.7581264,0.34011,0.44,100
37,80.12002,0.34025,0.44,100
38,80.0807744,0.33984,0.44,100
39,79.6918497,0.34186,0.46,100
40,79.4828394,0.34011,0.46,100
41,79.0328978,0.34375,0.46,100
42,78.9865234,0.34092,0.46,100
43,78.4613184,0.34294,0.46,100
44,78.117016,0.34321,0.46,100
46,77.5840325,0.34375,0.46,100
47,77.5482594,0.34321,0.46,100
48,77.4637252,0.34348,0.46,100
49,77.3819821,0.34429,0.46,100
50,77.3702264,0.34388,0.46,100
