epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES
0,50434.7282047,0.0,0.576,0.516,0.564,0.552,1000
1,467.6046156,0.24571,0.316,0.494,0.55,0.306,1000
1,849.9647072,0.14286,0.296,0.496,0.552,0.304,1000
1,706.9981982,0.2,0.3,0.492,0.552,0.294,1000
1,634.7256384,0.21143,0.308,0.5,0.552,0.296,1000
1,577.56299,0.21714,0.306,0.498,0.55,0.296,1000
1,679.9111404,0.20571,0.308,0.494,0.552,0.296,1000
1,796.8622528,0.15429,0.298,0.496,0.552,0.298,1000
1,554.3242233,0.21143,0.308,0.502,0.55,0.306,1000
1,444.8534049,0.24571,0.322,0.494,0.55,0.312,1000
1,441.6548185,0.24571,0.322,0.5,0.55,0.314,1000
1,447.1284457,0.23429,0.322,0.496,0.55,0.312,1000
1,436.4652551,0.24,0.318,0.496,0.55,0.318,1000
1,556.1912669,0.21714,0.304,0.5,0.55,0.308,1000
1,594.9607843,0.21143,0.304,0.508,0.552,0.296,1000
1,479.3104533,0.24,0.314,0.494,0.55,0.308,1000
1,1347.0234134,0.08,0.306,0.494,0.554,0.31,1000
1,484.6360769,0.22286,0.318,0.502,0.55,0.312,1000
1,538.0961211,0.23429,0.316,0.5,0.55,0.31,1000
1,501.4926315,0.23429,0.314,0.492,0.55,0.308,1000
1,1729.0200524,0.06286,0.314,0.492,0.556,0.3,1000
1,656.8884743,0.2,0.306,0.496,0.552,0.29,1000
1,1103.5171972,0.10286,0.302,0.494,0.55,0.308,1000
1,1423.7253984,0.05714,0.308,0.504,0.554,0.314,1000
1,457.4854176,0.24,0.32,0.496,0.55,0.312,1000
1,444.4596182,0.25143,0.324,0.498,0.55,0.312,1000
1,459.5615915,0.25714,0.316,0.494,0.55,0.308,1000
1,459.3955054,0.25143,0.32,0.496,0.55,0.308,1000
1,512.0742031,0.23429,0.314,0.496,0.55,0.31,1000
1,915.2885798,0.12571,0.302,0.496,0.552,0.306,1000
1,497.014958,0.23429,0.318,0.5,0.55,0.308,1000
1,541.5423728,0.20571,0.314,0.498,0.55,0.31,1000
1,451.115179,0.24,0.32,0.5,0.55,0.312,1000
1,438.1537452,0.24571,0.318,0.496,0.55,0.31,1000
1,1519.2099591,0.05714,0.32,0.502,0.556,0.304,1000
1,740.1058616,0.15429,0.302,0.494,0.552,0.294,1000
1,491.2609263,0.23429,0.316,0.498,0.55,0.308,1000
1,522.9622908,0.22286,0.314,0.494,0.55,0.308,1000
1,1886.4992528,0.06286,0.32,0.492,0.556,0.302,1000
1,601.9407395,0.21143,0.306,0.5,0.552,0.298,1000
1,1607.670384,0.05714,0.316,0.5,0.554,0.304,1000
1,997.0987889,0.10857,0.3,0.492,0.55,0.308,1000
1,474.3709626,0.23429,0.316,0.5,0.55,0.31,1000
1,471.6434329,0.24,0.318,0.494,0.55,0.308,1000
1,567.9435054,0.21143,0.306,0.502,0.55,0.3,1000
1,3126.0932961,0.06286,0.308,0.486,0.556,0.312,1000
1,616.6489446,0.20571,0.306,0.498,0.552,0.298,1000
1,1224.6126353,0.10286,0.306,0.492,0.552,0.31,1000
1,2224.8023404,0.06286,0.316,0.488,0.558,0.31,1000
1,514.842598,0.23429,0.312,0.49,0.55,0.306,1000
1,455.8842549,0.25143,0.318,0.492,0.55,0.31,1000
