epoch,model_ppl,model_acc,inference_acc,TOTAL_CANDIDATES
0,50434.7282047,0.0,0.56,100
1,606.0323617,0.22857,0.24,100
2,655.134927,0.24,0.26,100
3,600.6866303,0.23429,0.24,100
4,568.4357519,0.21714,0.24,100
5,542.9898739,0.22286,0.24,100
6,521.9151206,0.22857,0.26,100
7,505.7021857,0.24,0.26,100
8,491.8336672,0.23429,0.26,100
9,477.8128682,0.25714,0.26,100
10,466.3121914,0.24571,0.26,100
11,457.9337575,0.25143,0.26,100
12,449.1037765,0.26286,0.26,100
13,440.8501178,0.25143,0.24,100
14,435.9391683,0.24571,0.28,100
15,428.673102,0.26286,0.28,100
16,421.439379,0.25143,0.26,100
17,416.0944251,0.24571,0.26,100
18,411.2601172,0.24571,0.26,100
19,407.1497348,0.23429,0.26,100
20,403.4253895,0.23429,0.26,100
21,399.3032431,0.24,0.26,100
22,395.0328599,0.24,0.26,100
23,392.1653471,0.25143,0.26,100
24,388.861901,0.24571,0.26,100
25,385.5976436,0.25143,0.26,100
26,382.461647,0.24571,0.26,100
27,380.0281913,0.24571,0.26,100
28,377.2716969,0.26286,0.26,100
29,374.4056883,0.26286,0.26,100
30,373.177368,0.24571,0.26,100
31,370.5170271,0.25143,0.26,100
32,368.0247085,0.24571,0.26,100
33,366.2202577,0.25143,0.26,100
34,364.4928199,0.25714,0.26,100
35,362.8431181,0.25143,0.26,100
36,360.7509407,0.26286,0.26,100
37,360.3487598,0.25143,0.26,100
38,358.1669033,0.25714,0.26,100
