epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49839.0000553,0.0,0.152,8e-05,63.0,0.446,0.488,0.514,0.552,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-49839.0000553_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3108.1920779,0.06286,2.549,8e-05,4.8,0.356,0.486,0.508,0.352,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3108.1920779_acc-0.06286_epoch-1_ep-2.549_dl-8e-05_ap-4.80
1,2109.186525,0.06286,2.613,8e-05,4.7,0.352,0.494,0.51,0.356,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2109.1865250_acc-0.06286_epoch-1_ep-2.613_dl-8e-05_ap-4.70
1,1873.9826116,0.06286,2.643,8e-05,4.7,0.358,0.494,0.51,0.358,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1873.9826116_acc-0.06286_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1703.1678837,0.06286,2.675,8e-05,4.7,0.356,0.492,0.508,0.358,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1703.1678837_acc-0.06286_epoch-1_ep-2.675_dl-8e-05_ap-4.70
1,1599.413592,0.06286,2.7,8e-05,4.6,0.362,0.498,0.508,0.362,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1599.4135920_acc-0.06286_epoch-1_ep-2.700_dl-8e-05_ap-4.60
1,1506.0641338,0.05714,2.716,8e-05,4.6,0.356,0.498,0.508,0.354,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1506.0641338_acc-0.05714_epoch-1_ep-2.716_dl-8e-05_ap-4.60
1,1450.7185359,0.05714,2.732,8e-05,4.6,0.354,0.496,0.506,0.352,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1450.7185359_acc-0.05714_epoch-1_ep-2.732_dl-8e-05_ap-4.60
1,1385.3372909,0.06286,2.746,8e-05,4.6,0.35,0.494,0.506,0.35,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1385.3372909_acc-0.06286_epoch-1_ep-2.746_dl-8e-05_ap-4.60
1,1348.1962531,0.06286,2.763,8e-05,4.6,0.356,0.498,0.506,0.356,1000,model/partialdp/20210421/123522/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1348.1962531_acc-0.06286_epoch-1_ep-2.763_dl-8e-05_ap-4.60
