epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,0.53,0.51,0.514,0.558,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3149.4856744,0.06286,2980172.792,8e-05,1.1,0.368,0.486,0.508,0.37,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-3149.4856744_acc-0.06286_epoch-1_ep-2980172.792_dl-8e-05_ap-1.10
1,2206.0042103,0.06286,5776695.693,8e-05,1.1,0.358,0.494,0.514,0.36,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-2206.0042103_acc-0.06286_epoch-1_ep-5776695.693_dl-8e-05_ap-1.10
1,1869.2086834,0.06286,8832355.85,8e-05,1.1,0.352,0.486,0.51,0.35,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-1869.2086834_acc-0.06286_epoch-1_ep-8832355.850_dl-8e-05_ap-1.10
1,1719.7354733,0.06286,11596486.594,8e-05,1.1,0.356,0.492,0.512,0.354,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-1719.7354733_acc-0.06286_epoch-1_ep-11596486.594_dl-8e-05_ap-1.10
1,1595.9998151,0.05714,14446996.423,8e-05,1.1,0.352,0.496,0.508,0.35,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-1595.9998151_acc-0.05714_epoch-1_ep-14446996.423_dl-8e-05_ap-1.10
1,1511.6243189,0.06286,17605231.744,8e-05,1.1,0.348,0.494,0.51,0.352,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-1511.6243189_acc-0.06286_epoch-1_ep-17605231.744_dl-8e-05_ap-1.10
1,1431.2013057,0.01714,20455741.573,8e-05,1.1,0.354,0.498,0.508,0.35,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-1431.2013057_acc-0.01714_epoch-1_ep-20455741.573_dl-8e-05_ap-1.10
1,1389.5714102,0.05714,23570787.352,8e-05,1.1,0.348,0.498,0.508,0.348,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-1389.5714102_acc-0.05714_epoch-1_ep-23570787.352_dl-8e-05_ap-1.10
1,1313.3160618,0.06286,26480682.803,8e-05,1.1,0.35,0.494,0.506,0.352,1000,model/partialdp/20210423/134414/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.01_norm-0.005_dl-8e-05.pt_ppl-1313.3160618_acc-0.06286_epoch-1_ep-26480682.803_dl-8e-05_ap-1.10
