epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
50,166.0325976,0.30857,0.152,8e-05,63.0,0.392,0.528,0.508,0.396,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-166.0325976_acc-0.30857_epoch-50_ep-0.152_dl-8e-05_ap-63.00
51,165.8101763,0.30286,3.013,8e-05,4.3,0.398,0.524,0.508,0.4,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-165.8101763_acc-0.30286_epoch-51_ep-3.013_dl-8e-05_ap-4.30
52,165.1629542,0.29143,3.157,8e-05,4.2,0.392,0.528,0.508,0.394,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-165.1629542_acc-0.29143_epoch-52_ep-3.157_dl-8e-05_ap-4.20
53,164.7284548,0.30857,3.261,8e-05,4.2,0.396,0.528,0.508,0.4,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-164.7284548_acc-0.30857_epoch-53_ep-3.261_dl-8e-05_ap-4.20
54,163.177968,0.31429,3.348,8e-05,4.1,0.398,0.526,0.508,0.402,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-163.1779680_acc-0.31429_epoch-54_ep-3.348_dl-8e-05_ap-4.10
55,163.6425013,0.30286,3.425,8e-05,4.1,0.4,0.53,0.51,0.398,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-163.6425013_acc-0.30286_epoch-55_ep-3.425_dl-8e-05_ap-4.10
56,161.2668722,0.31429,3.502,8e-05,4.1,0.4,0.526,0.508,0.404,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-161.2668722_acc-0.31429_epoch-56_ep-3.502_dl-8e-05_ap-4.10
57,161.3210875,0.31429,3.564,8e-05,4.0,0.4,0.528,0.508,0.404,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-161.3210875_acc-0.31429_epoch-57_ep-3.564_dl-8e-05_ap-4.00
58,160.9484044,0.30857,3.624,8e-05,4.0,0.398,0.53,0.508,0.4,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-160.9484044_acc-0.30857_epoch-58_ep-3.624_dl-8e-05_ap-4.00
59,160.99387,0.31429,3.683,8e-05,4.0,0.398,0.53,0.508,0.402,1000,model/partialdp/20210423/221533/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-160.9938700_acc-0.31429_epoch-59_ep-3.683_dl-8e-05_ap-4.00
