epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49790.7826603,0.0,0.152,8e-05,63.0,0.526,0.0,0.352,0.474,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-49790.7826603_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3187.7163957,0.06286,2.549,8e-05,4.8,0.496,0.0,0.35,0.47,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3187.7163957_acc-0.06286_epoch-1_ep-2.545_dl-8e-05_ap-4.80
1,2151.1392207,0.05143,2.61,8e-05,4.7,0.51,0.0,0.348,0.48,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2151.1392207_acc-0.05143_epoch-1_ep-2.612_dl-8e-05_ap-4.70
1,1908.0807213,0.06286,2.643,8e-05,4.7,0.512,0.0,0.35,0.492,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1908.0807213_acc-0.06286_epoch-1_ep-2.644_dl-8e-05_ap-4.70
1,1707.9611627,0.06286,2.674,8e-05,4.7,0.518,0.0,0.35,0.498,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1707.9611627_acc-0.06286_epoch-1_ep-2.675_dl-8e-05_ap-4.70
1,1611.2315626,0.05714,2.7,8e-05,4.6,0.534,0.0,0.35,0.504,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1611.2315626_acc-0.05714_epoch-1_ep-2.701_dl-8e-05_ap-4.60
1,1529.2376822,0.01714,2.715,8e-05,4.6,0.546,0.0,0.352,0.512,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1529.2376822_acc-0.01714_epoch-1_ep-2.716_dl-8e-05_ap-4.60
1,1456.7827663,0.06286,2.73,8e-05,4.6,0.55,0.0,0.352,0.516,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1456.7827663_acc-0.06286_epoch-1_ep-2.732_dl-8e-05_ap-4.60
1,1407.3795942,0.06286,2.745,8e-05,4.6,0.554,0.0,0.352,0.522,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1407.3795942_acc-0.06286_epoch-1_ep-2.746_dl-8e-05_ap-4.60
1,1356.0664739,0.06286,2.762,8e-05,4.6,0.554,0.0,0.352,0.526,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1356.0664739_acc-0.06286_epoch-1_ep-2.762_dl-8e-05_ap-4.60
1,1279.648118,0.06286,2.778,8e-05,4.6,0.548,0.0,0.352,0.526,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1279.6481180_acc-0.06286_epoch-1_ep-2.777_dl-8e-05_ap-4.60
1,1240.0811696,0.06286,2.789,8e-05,4.5,0.542,0.0,0.352,0.524,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1240.0811696_acc-0.06286_epoch-1_ep-2.788_dl-8e-05_ap-4.50
1,1208.1821944,0.01714,2.798,8e-05,4.5,0.544,0.0,0.352,0.524,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1208.1821944_acc-0.01714_epoch-1_ep-2.797_dl-8e-05_ap-4.50
1,1140.5366673,0.06286,2.806,8e-05,4.5,0.54,0.0,0.352,0.522,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1140.5366673_acc-0.06286_epoch-1_ep-2.806_dl-8e-05_ap-4.50
1,1057.8493418,0.06286,2.815,8e-05,4.5,0.54,0.0,0.352,0.522,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1057.8493418_acc-0.06286_epoch-1_ep-2.814_dl-8e-05_ap-4.50
1,964.1748641,0.10286,2.824,8e-05,4.5,0.538,0.0,0.352,0.522,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-964.1748641_acc-0.10286_epoch-1_ep-2.823_dl-8e-05_ap-4.50
1,886.414268,0.10286,2.832,8e-05,4.5,0.536,0.0,0.352,0.524,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-886.4142680_acc-0.10286_epoch-1_ep-2.832_dl-8e-05_ap-4.50
1,816.2893769,0.08,2.84,8e-05,4.5,0.528,0.0,0.35,0.524,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-816.2893769_acc-0.08000_epoch-1_ep-2.840_dl-8e-05_ap-4.50
1,762.1288476,0.11429,2.849,8e-05,4.5,0.528,0.0,0.35,0.522,1000,model/partialdp/20210421/123530/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-762.1288476_acc-0.11429_epoch-1_ep-2.849_dl-8e-05_ap-4.50
