epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,0.52,0.0,0.35,0.464,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,2878.0451362,0.01714,65612.831,8e-05,1.1,0.546,0.0,0.352,0.502,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-2878.0451362_acc-0.01714_epoch-1_ep-65612.831_dl-8e-05_ap-1.10
1,2122.6913976,0.01714,127095.768,8e-05,1.1,0.528,0.0,0.346,0.5,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-2122.6913976_acc-0.01714_epoch-1_ep-127095.768_dl-8e-05_ap-1.10
1,1785.3654242,0.05714,194275.965,8e-05,1.1,0.54,0.0,0.35,0.512,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-1785.3654242_acc-0.05714_epoch-1_ep-194275.965_dl-8e-05_ap-1.10
1,1659.1818577,0.05714,255046.744,8e-05,1.1,0.534,0.0,0.348,0.522,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-1659.1818577_acc-0.05714_epoch-1_ep-255046.744_dl-8e-05_ap-1.10
1,1545.9269627,0.06286,317716.61,8e-05,1.1,0.554,0.0,0.346,0.528,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-1545.9269627_acc-0.06286_epoch-1_ep-317716.610_dl-8e-05_ap-1.10
1,1468.3387067,0.01714,387151.973,8e-05,1.1,0.54,0.0,0.344,0.534,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-1468.3387067_acc-0.01714_epoch-1_ep-387151.973_dl-8e-05_ap-1.10
1,1379.9063566,0.01714,449821.839,8e-05,1.1,0.55,0.0,0.346,0.536,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-1379.9063566_acc-0.01714_epoch-1_ep-449821.839_dl-8e-05_ap-1.10
1,1344.6538646,0.05143,518307.658,8e-05,1.1,0.532,0.0,0.342,0.522,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-1344.6538646_acc-0.05143_epoch-1_ep-518307.658_dl-8e-05_ap-1.10
1,1209.0904302,0.09714,582283.146,8e-05,1.1,0.528,0.0,0.338,0.526,1000,model/partialdp/20210423/111126/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.05_norm-0.25_dl-8e-05.pt_ppl-1209.0904302_acc-0.09714_epoch-1_ep-582283.146_dl-8e-05_ap-1.10
