epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
50,187.3671102,0.00021,0.152,8e-05,63.0,0.624,0.0,0.38,0.618,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-187.3671102_acc-0.00021_epoch-50_ep-0.152_dl-8e-05_ap-63.00
51,187.8485202,0.00021,3.013,8e-05,4.3,0.636,0.0,0.38,0.624,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-187.8485202_acc-0.00021_epoch-51_ep-3.013_dl-8e-05_ap-4.30
52,185.2819649,0.00021,3.157,8e-05,4.2,0.636,0.0,0.382,0.62,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-185.2819649_acc-0.00021_epoch-52_ep-3.157_dl-8e-05_ap-4.20
53,182.9470547,0.00021,3.261,8e-05,4.2,0.628,0.0,0.384,0.618,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-182.9470547_acc-0.00021_epoch-53_ep-3.261_dl-8e-05_ap-4.20
54,182.7450889,0.00022,3.348,8e-05,4.1,0.622,0.0,0.38,0.618,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-182.7450889_acc-0.00022_epoch-54_ep-3.348_dl-8e-05_ap-4.10
55,181.0744126,0.00021,3.425,8e-05,4.1,0.622,0.0,0.382,0.618,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-181.0744126_acc-0.00021_epoch-55_ep-3.425_dl-8e-05_ap-4.10
56,180.7622512,0.00022,3.501,8e-05,4.1,0.626,0.0,0.38,0.622,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-180.7622512_acc-0.00022_epoch-56_ep-3.501_dl-8e-05_ap-4.10
57,178.2061055,0.00022,3.563,8e-05,4.0,0.624,0.0,0.378,0.62,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-178.2061055_acc-0.00022_epoch-57_ep-3.563_dl-8e-05_ap-4.00
58,177.0591024,0.00022,3.624,8e-05,4.0,0.624,0.0,0.374,0.624,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-177.0591024_acc-0.00022_epoch-58_ep-3.624_dl-8e-05_ap-4.00
59,175.7644123,0.00022,3.684,8e-05,4.0,0.634,0.0,0.376,0.626,1000,model/partialdp/20210427/213900/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-175.7644123_acc-0.00022_epoch-59_ep-3.684_dl-8e-05_ap-4.00
