epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,0.576,0.516,0.564,0.552,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3128.1467008,0.06286,2.548,8e-05,4.8,0.314,0.492,0.556,0.314,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-3128.1467008_acc-0.06286_epoch-1_ep-2.548_dl-8e-05_ap-4.80
1,2202.2600461,0.06286,2.61,8e-05,4.8,0.318,0.498,0.556,0.316,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-2202.2600461_acc-0.06286_epoch-1_ep-2.610_dl-8e-05_ap-4.80
1,1867.9088991,0.06286,2.643,8e-05,4.7,0.316,0.49,0.556,0.3,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1867.9088991_acc-0.06286_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1721.6241515,0.06286,2.672,8e-05,4.7,0.318,0.496,0.554,0.308,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1721.6241515_acc-0.06286_epoch-1_ep-2.672_dl-8e-05_ap-4.70
1,1597.4204687,0.05714,2.698,8e-05,4.6,0.32,0.506,0.554,0.306,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1597.4204687_acc-0.05714_epoch-1_ep-2.698_dl-8e-05_ap-4.60
1,1512.7512613,0.05714,2.715,8e-05,4.6,0.316,0.508,0.556,0.312,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1512.7512613_acc-0.05714_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1431.2717895,0.01714,2.73,8e-05,4.6,0.306,0.51,0.554,0.32,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1431.2717895_acc-0.01714_epoch-1_ep-2.730_dl-8e-05_ap-4.60
1,1386.8577442,0.05714,2.747,8e-05,4.6,0.308,0.51,0.556,0.314,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1386.8577442_acc-0.05714_epoch-1_ep-2.747_dl-8e-05_ap-4.60
1,1307.2107832,0.06286,2.762,8e-05,4.6,0.31,0.508,0.554,0.308,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1307.2107832_acc-0.06286_epoch-1_ep-2.762_dl-8e-05_ap-4.60
1,1247.3769171,0.06286,2.778,8e-05,4.6,0.304,0.506,0.556,0.312,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1247.3769171_acc-0.06286_epoch-1_ep-2.778_dl-8e-05_ap-4.60
1,1153.3857899,0.09143,2.789,8e-05,4.5,0.304,0.5,0.554,0.308,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1153.3857899_acc-0.09143_epoch-1_ep-2.789_dl-8e-05_ap-4.50
1,1045.2429936,0.10286,2.797,8e-05,4.5,0.304,0.498,0.552,0.306,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-1045.2429936_acc-0.10286_epoch-1_ep-2.797_dl-8e-05_ap-4.50
1,961.229978,0.10286,2.806,8e-05,4.5,0.304,0.494,0.55,0.31,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-961.2299780_acc-0.10286_epoch-1_ep-2.806_dl-8e-05_ap-4.50
1,893.3158717,0.11429,2.815,8e-05,4.5,0.306,0.496,0.552,0.308,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-893.3158717_acc-0.11429_epoch-1_ep-2.815_dl-8e-05_ap-4.50
1,825.1049184,0.12,2.824,8e-05,4.5,0.304,0.496,0.552,0.308,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-825.1049184_acc-0.12000_epoch-1_ep-2.824_dl-8e-05_ap-4.50
1,782.8273912,0.12571,2.832,8e-05,4.5,0.304,0.496,0.552,0.306,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-782.8273912_acc-0.12571_epoch-1_ep-2.832_dl-8e-05_ap-4.50
1,736.2319303,0.15429,2.84,8e-05,4.5,0.302,0.504,0.55,0.298,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-736.2319303_acc-0.15429_epoch-1_ep-2.840_dl-8e-05_ap-4.50
1,705.1701375,0.15429,2.848,8e-05,4.5,0.308,0.504,0.55,0.302,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-705.1701375_acc-0.15429_epoch-1_ep-2.848_dl-8e-05_ap-4.50
1,670.0629287,0.15429,2.857,8e-05,4.5,0.306,0.502,0.552,0.296,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-670.0629287_acc-0.15429_epoch-1_ep-2.857_dl-8e-05_ap-4.50
1,640.6856434,0.14286,2.865,8e-05,4.5,0.302,0.496,0.55,0.298,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-640.6856434_acc-0.14286_epoch-1_ep-2.865_dl-8e-05_ap-4.50
1,620.6384801,0.15429,2.874,8e-05,4.5,0.304,0.5,0.55,0.3,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-620.6384801_acc-0.15429_epoch-1_ep-2.874_dl-8e-05_ap-4.50
1,612.7530206,0.20571,2.882,8e-05,4.5,0.304,0.496,0.55,0.3,1000,model/partialdp/20210417/000251/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.01_dl-8e-05.pt_ppl-612.7530206_acc-0.20571_epoch-1_ep-2.882_dl-8e-05_ap-4.50
