epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,0.576,0.516,0.564,0.552,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3158.7025307,0.06286,2.548,8e-05,4.8,0.312,0.488,0.556,0.314,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-3158.7025307_acc-0.06286_epoch-1_ep-2.548_dl-8e-05_ap-4.80
1,2207.9621952,0.06286,2.61,8e-05,4.8,0.322,0.49,0.556,0.31,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-2207.9621952_acc-0.06286_epoch-1_ep-2.610_dl-8e-05_ap-4.80
1,1871.4235057,0.06286,2.643,8e-05,4.7,0.318,0.494,0.556,0.304,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1871.4235057_acc-0.06286_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1722.3884535,0.06286,2.672,8e-05,4.7,0.316,0.498,0.556,0.308,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1722.3884535_acc-0.06286_epoch-1_ep-2.672_dl-8e-05_ap-4.70
1,1599.9433601,0.05714,2.698,8e-05,4.6,0.318,0.502,0.556,0.308,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1599.9433601_acc-0.05714_epoch-1_ep-2.698_dl-8e-05_ap-4.60
1,1516.9957103,0.05143,2.715,8e-05,4.6,0.316,0.504,0.556,0.314,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1516.9957103_acc-0.05143_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1435.128722,0.01714,2.73,8e-05,4.6,0.306,0.504,0.554,0.322,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1435.1287220_acc-0.01714_epoch-1_ep-2.730_dl-8e-05_ap-4.60
1,1395.8713076,0.05714,2.747,8e-05,4.6,0.306,0.504,0.556,0.322,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1395.8713076_acc-0.05714_epoch-1_ep-2.747_dl-8e-05_ap-4.60
1,1319.9221909,0.06286,2.762,8e-05,4.6,0.306,0.502,0.556,0.31,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1319.9221909_acc-0.06286_epoch-1_ep-2.762_dl-8e-05_ap-4.60
1,1270.0046062,0.06286,2.778,8e-05,4.6,0.302,0.502,0.556,0.312,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1270.0046062_acc-0.06286_epoch-1_ep-2.778_dl-8e-05_ap-4.60
1,1191.5747856,0.08,2.789,8e-05,4.5,0.304,0.5,0.556,0.31,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1191.5747856_acc-0.08000_epoch-1_ep-2.789_dl-8e-05_ap-4.50
1,1096.4573565,0.08,2.797,8e-05,4.5,0.302,0.498,0.552,0.3,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1096.4573565_acc-0.08000_epoch-1_ep-2.797_dl-8e-05_ap-4.50
1,1018.6172019,0.08,2.806,8e-05,4.5,0.298,0.5,0.55,0.304,1000,model/partialdp/20210419/134357/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-06_dl-8e-05.pt_ppl-1018.6172019_acc-0.08000_epoch-1_ep-2.806_dl-8e-05_ap-4.50
