epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50536.0525635,0.0,0.152,8e-05,63.0,0.476,0.476,0.514,0.558,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-50536.0525635_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3233.8259709,2e-05,2.549,8e-05,4.8,0.37,0.488,0.508,0.362,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3233.8259709_acc-0.00002_epoch-1_ep-2.549_dl-8e-05_ap-4.80
1,2159.7874308,4e-05,2.61,8e-05,4.8,0.356,0.494,0.512,0.358,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2159.7874308_acc-0.00004_epoch-1_ep-2.610_dl-8e-05_ap-4.80
1,1870.9451346,4e-05,2.643,8e-05,4.7,0.36,0.504,0.51,0.36,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1870.9451346_acc-0.00004_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1728.9457193,4e-05,2.674,8e-05,4.7,0.358,0.492,0.51,0.364,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1728.9457193_acc-0.00004_epoch-1_ep-2.674_dl-8e-05_ap-4.70
1,1603.3523219,1e-05,2.7,8e-05,4.6,0.362,0.492,0.51,0.362,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1603.3523219_acc-0.00001_epoch-1_ep-2.700_dl-8e-05_ap-4.60
1,1528.5605703,4e-05,2.715,8e-05,4.6,0.36,0.488,0.506,0.358,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1528.5605703_acc-0.00004_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1459.5325764,1e-05,2.73,8e-05,4.6,0.358,0.486,0.508,0.356,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1459.5325764_acc-0.00001_epoch-1_ep-2.730_dl-8e-05_ap-4.60
1,1392.6824007,4e-05,2.745,8e-05,4.6,0.354,0.488,0.506,0.352,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1392.6824007_acc-0.00004_epoch-1_ep-2.745_dl-8e-05_ap-4.60
1,1344.4444266,4e-05,2.762,8e-05,4.6,0.356,0.486,0.508,0.356,1000,model/partialdp/20210427/211240/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1344.4444266_acc-0.00004_epoch-1_ep-2.762_dl-8e-05_ap-4.60
