epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7281136,0.0,0.152,8e-05,63.0,0.52,0.0,0.358,0.464,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-50434.7281136_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3158.4584026,0.06286,2.548,8e-05,4.8,0.53,0.0,0.354,0.494,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3158.4584026_acc-0.06286_epoch-1_ep-2.548_dl-8e-05_ap-4.80
1,2208.6096173,0.06286,2.61,8e-05,4.8,0.532,0.0,0.354,0.506,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2208.6096173_acc-0.06286_epoch-1_ep-2.610_dl-8e-05_ap-4.80
1,1872.4985503,0.06286,2.643,8e-05,4.7,0.538,0.0,0.354,0.512,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1872.4985503_acc-0.06286_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1723.0098585,0.06286,2.672,8e-05,4.7,0.542,0.0,0.354,0.52,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1723.0098585_acc-0.06286_epoch-1_ep-2.672_dl-8e-05_ap-4.70
1,1600.8493162,0.05714,2.698,8e-05,4.6,0.548,0.0,0.354,0.536,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1600.8493162_acc-0.05714_epoch-1_ep-2.698_dl-8e-05_ap-4.60
1,1515.8993236,0.05143,2.715,8e-05,4.6,0.55,0.0,0.354,0.544,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1515.8993236_acc-0.05143_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1435.4989557,0.01714,2.73,8e-05,4.6,0.548,0.0,0.354,0.554,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1435.4989557_acc-0.01714_epoch-1_ep-2.730_dl-8e-05_ap-4.60
1,1394.967425,0.05714,2.747,8e-05,4.6,0.552,0.0,0.354,0.554,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1394.9674250_acc-0.05714_epoch-1_ep-2.747_dl-8e-05_ap-4.60
1,1316.8948726,0.06286,2.762,8e-05,4.6,0.55,0.0,0.354,0.55,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1316.8948726_acc-0.06286_epoch-1_ep-2.762_dl-8e-05_ap-4.60
1,1262.9861189,0.06286,2.778,8e-05,4.6,0.552,0.0,0.354,0.55,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1262.9861189_acc-0.06286_epoch-1_ep-2.778_dl-8e-05_ap-4.60
1,1181.2296128,0.07429,2.789,8e-05,4.5,0.552,0.0,0.354,0.554,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1181.2296128_acc-0.07429_epoch-1_ep-2.789_dl-8e-05_ap-4.50
1,1084.7909488,0.08,2.797,8e-05,4.5,0.556,0.0,0.354,0.554,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1084.7909488_acc-0.08000_epoch-1_ep-2.797_dl-8e-05_ap-4.50
1,1002.6220601,0.08,2.806,8e-05,4.5,0.55,0.0,0.354,0.552,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1002.6220601_acc-0.08000_epoch-1_ep-2.806_dl-8e-05_ap-4.50
1,936.1123839,0.09143,2.815,8e-05,4.5,0.552,0.0,0.356,0.55,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-936.1123839_acc-0.09143_epoch-1_ep-2.815_dl-8e-05_ap-4.50
1,870.508307,0.11429,2.824,8e-05,4.5,0.544,0.0,0.356,0.548,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-870.5083070_acc-0.11429_epoch-1_ep-2.824_dl-8e-05_ap-4.50
1,829.6951888,0.11429,2.832,8e-05,4.5,0.546,0.0,0.356,0.55,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-829.6951888_acc-0.11429_epoch-1_ep-2.832_dl-8e-05_ap-4.50
1,788.1351256,0.12571,2.84,8e-05,4.5,0.552,0.0,0.354,0.55,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-788.1351256_acc-0.12571_epoch-1_ep-2.840_dl-8e-05_ap-4.50
1,757.9498454,0.12571,2.848,8e-05,4.5,0.552,0.0,0.354,0.552,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-757.9498454_acc-0.12571_epoch-1_ep-2.848_dl-8e-05_ap-4.50
1,716.8306279,0.12571,2.857,8e-05,4.5,0.552,0.0,0.354,0.554,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-716.8306279_acc-0.12571_epoch-1_ep-2.857_dl-8e-05_ap-4.50
1,682.6069974,0.14857,2.865,8e-05,4.5,0.554,0.0,0.354,0.552,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-682.6069974_acc-0.14857_epoch-1_ep-2.865_dl-8e-05_ap-4.50
1,656.4513057,0.15429,2.874,8e-05,4.5,0.556,0.0,0.354,0.548,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-656.4513057_acc-0.15429_epoch-1_ep-2.874_dl-8e-05_ap-4.50
1,643.2244732,0.17143,2.882,8e-05,4.5,0.552,0.0,0.354,0.552,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-643.2244732_acc-0.17143_epoch-1_ep-2.882_dl-8e-05_ap-4.50
1,614.6999185,0.17714,2.887,8e-05,4.4,0.556,0.0,0.356,0.552,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-614.6999185_acc-0.17714_epoch-1_ep-2.887_dl-8e-05_ap-4.40
1,603.8622279,0.17714,2.892,8e-05,4.4,0.556,0.0,0.356,0.55,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-603.8622279_acc-0.17714_epoch-1_ep-2.892_dl-8e-05_ap-4.40
1,585.9184495,0.21143,2.897,8e-05,4.4,0.558,0.0,0.356,0.548,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-585.9184495_acc-0.21143_epoch-1_ep-2.897_dl-8e-05_ap-4.40
1,579.5813876,0.19429,2.902,8e-05,4.4,0.56,0.0,0.356,0.546,1000,model/partialdp/20210426/223009/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-579.5813876_acc-0.19429_epoch-1_ep-2.902_dl-8e-05_ap-4.40
