epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50058.196617,0.0,0.152,8e-05,63.0,0.504,0.0,0.352,0.448,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-50058.1966170_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3179.8302802,0.04044,2.55,8e-05,4.8,0.526,0.0,0.352,0.498,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3179.8302802_acc-0.04044_epoch-1_ep-2.550_dl-8e-05_ap-4.80
1,2143.2431205,0.04061,2.612,8e-05,4.7,0.522,0.0,0.352,0.498,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2143.2431205_acc-0.04061_epoch-1_ep-2.612_dl-8e-05_ap-4.70
1,1880.6340326,0.04886,2.644,8e-05,4.7,0.524,0.0,0.35,0.502,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1880.6340326_acc-0.04886_epoch-1_ep-2.644_dl-8e-05_ap-4.70
1,1706.4390729,0.04669,2.678,8e-05,4.7,0.53,0.0,0.35,0.51,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1706.4390729_acc-0.04669_epoch-1_ep-2.678_dl-8e-05_ap-4.70
1,1611.9321508,0.04572,2.702,8e-05,4.6,0.538,0.0,0.35,0.518,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1611.9321508_acc-0.04572_epoch-1_ep-2.702_dl-8e-05_ap-4.60
1,1531.1034943,0.04702,2.718,8e-05,4.6,0.554,0.0,0.35,0.526,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1531.1034943_acc-0.04702_epoch-1_ep-2.718_dl-8e-05_ap-4.60
1,1457.1004215,0.04702,2.732,8e-05,4.6,0.548,0.0,0.35,0.528,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1457.1004215_acc-0.04702_epoch-1_ep-2.732_dl-8e-05_ap-4.60
1,1381.5426317,0.0465,2.748,8e-05,4.6,0.56,0.0,0.35,0.54,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1381.5426317_acc-0.04650_epoch-1_ep-2.748_dl-8e-05_ap-4.60
1,1349.8832141,0.04702,2.763,8e-05,4.6,0.552,0.0,0.348,0.544,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1349.8832141_acc-0.04702_epoch-1_ep-2.763_dl-8e-05_ap-4.60
1,1279.4631799,0.04702,2.779,8e-05,4.6,0.552,0.0,0.348,0.542,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1279.4631799_acc-0.04702_epoch-1_ep-2.779_dl-8e-05_ap-4.60
1,1205.9606653,0.09725,2.789,8e-05,4.5,0.55,0.0,0.348,0.544,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1205.9606653_acc-0.09725_epoch-1_ep-2.789_dl-8e-05_ap-4.50
1,1140.6115656,0.08717,2.798,8e-05,4.5,0.55,0.0,0.348,0.546,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1140.6115656_acc-0.08717_epoch-1_ep-2.798_dl-8e-05_ap-4.50
1,1088.6677776,0.09669,2.806,8e-05,4.5,0.554,0.0,0.348,0.546,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1088.6677776_acc-0.09669_epoch-1_ep-2.806_dl-8e-05_ap-4.50
1,1004.7397644,0.10484,2.815,8e-05,4.5,0.554,0.0,0.348,0.546,1000,model/partialdp/20210507/221838/data-wikitext-2-add1b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1004.7397644_acc-0.10484_epoch-1_ep-2.815_dl-8e-05_ap-4.50
